Randomizer Version: 4.5.1-HAL
Random Seed: 23962706501124
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> VOLBEAT        
DELCATTY Lv30            HP 156 ATK 35  DEF 58  SPATK 38  SPDEF 102 SPEED 59 
ROTOM Lv30               HP 148 ATK 31  DEF 86  SPATK 193 SPDEF 138 SPEED 55 
LANTURN Lv30             HP 95  ATK 32  DEF 94  SPATK 79  SPDEF 49  SPEED 97 

Set #220 - Route 40 Super Rod (rate=75)
GARDEVOIR Lv60           HP 92  ATK 89  DEF 113 SPATK 93  SPDEF 101 SPEED 77 
VAPOREON Lv60            HP 75  ATK 94  DEF 39  SPATK 77  SPDEF 142 SPEED 66 
GROVYLE Lv60             HP 22  ATK 89  DEF 109 SPATK 114 SPDEF 94  SPEED 98 
CASCOON Lv60             HP 36  ATK 26  DEF 29  SPATK 75  SPDEF 66  SPEED 78 
GLOOM Lv60               HP 20  ATK 31  DEF 70  SPATK 11  SPDEF 66  SPEED 61 

Set #221 - Route 40 Swarms (rate=1)
KRICKETUNE Lv1           HP 71  ATK 54  DEF 56  SPATK 127 SPDEF 117 SPEED 78 

Set #222 - Route 40 Night Fishing Replacement (rate=1)
FARFETCH’D Lv1           HP 79  ATK 126 DEF 73  SPATK 104 SPDEF 92  SPEED 64 

Set #223 - Route 40 Fishing Swarm (rate=1)
SNUBBULL Lv1             HP 70  ATK 165 DEF 50  SPATK 123 SPDEF 17  SPEED 73 

Set #224 - Route 41 Surfing (rate=10)
WARTORTLE Lvs 23-38      HP 79  ATK 22  DEF 58  SPATK 75  SPDEF 74  SPEED 107
LUGIA Lvs 15-30          HP 161 ATK 19  DEF 16  SPATK 116 SPDEF 110 SPEED 83 
PIDGEY Lvs 23-38         HP 61  ATK 36  DEF 16  SPATK 64  SPDEF 32  SPEED 23 
TOGETIC Lvs 23-38        HP 34  ATK 35  DEF 40  SPATK 36  SPDEF 48  SPEED 51 
SNUBBULL Lvs 23-38       HP 70  ATK 165 DEF 50  SPATK 123 SPDEF 17  SPEED 73 

Set #225 - Route 41 Old Rod (rate=25)
YANMEGA Lv15             HP 57  ATK 93  DEF 88  SPATK 76  SPDEF 91  SPEED 105
LUNATONE Lv15            HP 37  ATK 59  DEF 34  SPATK 18  SPDEF 117 SPEED 188
BULBASAUR Lv15           HP 40  ATK 91  DEF 50  SPATK 64  SPDEF 36  SPEED 116
LEDIAN Lv15              HP 44  ATK 113 DEF 68  SPATK 110 SPDEF 46  SPEED 128
SWABLU Lv15              HP 56  ATK 24  DEF 79  SPATK 64  SPDEF 64  SPEED 77 

Set #226 - Route 41 Good Rod (rate=50)
URSARING Lv30            HP 72  ATK 47  DEF 114 SPATK 112 SPDEF 31  SPEED 113
LINOONE Lv30             HP 133 ATK 83  DEF 100 SPATK 106 SPDEF 123 SPEED 36 
LATIAS Lv30              HP 140 ATK 91  DEF 86  SPATK 92  SPDEF 64  SPEED 12 
PERSIAN Lv30             HP 24  ATK 64  DEF 53  SPATK 96  SPDEF 95  SPEED 82 
LICKILICKY Lv30          HP 135 ATK 11  DEF 152 SPATK 12  SPDEF 87  SPEED 132

Set #227 - Route 41 Super Rod (rate=75)
PORYGON2 Lv60            HP 48  ATK 26  DEF 50  SPATK 86  SPDEF 37  SPEED 45 
NOSEPASS Lv60            HP 158 ATK 87  DEF 57  SPATK 87  SPDEF 81  SPEED 84 
KABUTO Lv60              HP 46  ATK 47  DEF 36  SPATK 33  SPDEF 39  SPEED 30 
OCTILLERY Lv60           HP 113 ATK 121 DEF 105 SPATK 53  SPDEF 32  SPEED 38 
KYOGRE Lv60              HP 73  ATK 75  DEF 62  SPATK 129 SPDEF 48  SPEED 119

Set #228 - Route 41 Swarms (rate=1)
STUNKY Lv1               HP 52  ATK 20  DEF 52  SPATK 21  SPDEF 55  SPEED 53 

Set #229 - Route 41 Night Fishing Replacement (rate=1)
RIOLU Lv1                HP 55  ATK 53  DEF 42  SPATK 28  SPDEF 11  SPEED 56 

Set #230 - Route 41 Fishing Swarm (rate=1)
SPHEAL Lv1               HP 20  ATK 53  DEF 48  SPATK 60  SPDEF 21  SPEED 30 

Set #231 - Whirl Islands Grass/Cave (rate=5)
GLACEON Lv33             HP 62  ATK 105 DEF 107 SPATK 53  SPDEF 98  SPEED 114
QUILAVA Lv35             HP 49  ATK 83  DEF 52  SPATK 92  SPDEF 49  SPEED 50 
SEVIPER Lv33             HP 99  ATK 102 DEF 85  SPATK 95  SPDEF 34  SPEED 109
VOLTORB Lv35             HP 67  ATK 85  DEF 55  SPATK 10  SPDEF 71  SPEED 13 
POOCHYENA Lv36           HP 20  ATK 50  DEF 56  SPATK 11  SPDEF 58  SPEED 70 
MURKROW Lv36             HP 20  ATK 75  DEF 54  SPATK 76  SPDEF 55  SPEED 43 
BELLOSSOM Lv33           HP 133 ATK 119 DEF 136 SPATK 173 SPDEF 133 SPEED 75 
GASTLY Lv33              HP 20  ATK 162 DEF 116 SPATK 159 SPDEF 14  SPEED 12 
DRAGONAIR Lv35           HP 54  ATK 22  DEF 57  SPATK 24  SPDEF 67  SPEED 83 
ROSERADE Lv36            HP 80  ATK 58  DEF 85  SPATK 38  SPDEF 91  SPEED 38 
KINGLER Lv35             HP 56  ATK 103 DEF 77  SPATK 57  SPDEF 108 SPEED 32 
LAIRON Lv36              HP 20  ATK 85  DEF 22  SPATK 116 SPDEF 72  SPEED 10 

Set #232 - Whirl Islands Hoenn/Sinnoh Radio (rate=1)
MILOTIC Lv1              HP 66  ATK 112 DEF 162 SPATK 134 SPDEF 40  SPEED 102
MACHOKE Lv1              HP 107 ATK 10  DEF 13  SPATK 51  SPDEF 27  SPEED 10 
WURMPLE Lv1              HP 81  ATK 41  DEF 27  SPATK 41  SPDEF 18  SPEED 82 
LICKITUNG Lv1            HP 37  ATK 76  DEF 32  SPATK 75  SPDEF 95  SPEED 115

Set #233 - Whirl Islands Surfing (rate=10)
STARLY Lvs 23-38         HP 48  ATK 78  DEF 21  SPATK 16  SPDEF 63  SPEED 60 
SEEDOT Lvs 15-30         HP 67  ATK 49  DEF 47  SPATK 45  SPDEF 10  SPEED 44 
LUCARIO Lvs 23-38        HP 105 ATK 22  DEF 135 SPATK 35  SPDEF 15  SPEED 134
MARILL Lvs 23-38         HP 66  ATK 12  DEF 12  SPATK 33  SPDEF 34  SPEED 60 
ILLUMISE Lvs 23-38       HP 123 ATK 80  DEF 19  SPATK 123 SPDEF 24  SPEED 111

Set #234 - Whirl Islands Old Rod (rate=25)
CLEFFA Lv15              HP 20  ATK 10  DEF 58  SPATK 56  SPDEF 60  SPEED 39 
WEAVILE Lv15             HP 72  ATK 117 DEF 44  SPATK 129 SPDEF 123 SPEED 107
CHERRIM Lv15             HP 107 ATK 97  DEF 70  SPATK 89  SPDEF 76  SPEED 51 
PIDGEOT Lv15             HP 79  ATK 43  DEF 31  SPATK 16  SPDEF 114 SPEED 215
GARDEVOIR Lv15           HP 92  ATK 89  DEF 113 SPATK 93  SPDEF 101 SPEED 77 

Set #235 - Whirl Islands Good Rod (rate=50)
GROTLE Lv30              HP 38  ATK 75  DEF 61  SPATK 88  SPDEF 135 SPEED 57 
SHROOMISH Lv30           HP 96  ATK 104 DEF 64  SPATK 48  SPDEF 14  SPEED 18 
TORTERRA Lv30            HP 110 ATK 55  DEF 93  SPATK 58  SPDEF 60  SPEED 95 
NIDORINO Lv30            HP 130 ATK 119 DEF 77  SPATK 25  SPDEF 106 SPEED 30 
AERODACTYL Lv30          HP 75  ATK 49  DEF 14  SPATK 122 SPDEF 68  SPEED 119

Set #236 - Whirl Islands Super Rod (rate=75)
CARVANHA Lv60            HP 26  ATK 59  DEF 71  SPATK 103 SPDEF 81  SPEED 70 
PSYDUCK Lv60             HP 101 ATK 107 DEF 39  SPATK 46  SPDEF 69  SPEED 91 
ARMALDO Lv60             HP 37  ATK 26  DEF 107 SPATK 137 SPDEF 171 SPEED 185
STANTLER Lv60            HP 115 ATK 96  DEF 18  SPATK 43  SPDEF 136 SPEED 13 
EXEGGCUTE Lv60           HP 72  ATK 126 DEF 11  SPATK 54  SPDEF 21  SPEED 32 

Set #237 - Whirl Islands Swarms (rate=1)
RATTATA Lv1              HP 24  ATK 147 DEF 100 SPATK 128 SPDEF 16  SPEED 35 
PHIONE Lv1               HP 34  ATK 173 DEF 168 SPATK 31  SPDEF 167 SPEED 95 

Set #238 - Whirl Islands Night Fishing Replacement (rate=1)
QUAGSIRE Lv1             HP 108 ATK 107 DEF 104 SPATK 99  SPDEF 64  SPEED 108

Set #239 - Whirl Islands Fishing Swarm (rate=1)
SHEDINJA Lv1             HP 1   ATK 88  DEF 19  SPATK 97  SPDEF 101 SPEED 186

Set #240 - Whirl Islands Grass/Cave (rate=5)
SKITTY Lv33              HP 60  ATK 32  DEF 10  SPATK 58  SPDEF 43  SPEED 66 
CHARMANDER Lv35          HP 39  ATK 53  DEF 10  SPATK 10  SPDEF 64  SPEED 55 
TOGEPI Lv33              HP 49  ATK 70  DEF 27  SPATK 70  SPDEF 37  SPEED 24 
ESPEON Lv35              HP 20  ATK 63  DEF 104 SPATK 35  SPDEF 141 SPEED 141
CLAMPERL Lv36            HP 37  ATK 48  DEF 35  SPATK 62  SPDEF 56  SPEED 42 
CORSOLA Lv36             HP 20  ATK 31  DEF 125 SPATK 115 SPDEF 125 SPEED 70 
DRIFLOON Lv33            HP 65  ATK 10  DEF 20  SPATK 64  SPDEF 10  SPEED 53 
PINECO Lv33              HP 82  ATK 76  DEF 10  SPATK 82  SPDEF 22  SPEED 10 
CROAGUNK Lv35            HP 116 ATK 31  DEF 19  SPATK 126 SPDEF 32  SPEED 93 
LUMINEON Lv36            HP 164 ATK 67  DEF 127 SPATK 52  SPDEF 26  SPEED 51 
KABUTOPS Lv35            HP 51  ATK 63  DEF 127 SPATK 13  SPDEF 21  SPEED 146
LUNATONE Lv36            HP 37  ATK 59  DEF 34  SPATK 18  SPDEF 117 SPEED 188

Set #241 - Whirl Islands Hoenn/Sinnoh Radio (rate=1)
DIGLETT Lv1              HP 50  ATK 69  DEF 80  SPATK 63  SPDEF 51  SPEED 62 
FEAROW Lv1               HP 136 ATK 74  DEF 109 SPATK 136 SPDEF 10  SPEED 19 
RAICHU Lv1               HP 145 ATK 83  DEF 61  SPATK 142 SPDEF 31  SPEED 19 
SABLEYE Lv1              HP 110 ATK 120 DEF 32  SPATK 101 SPDEF 57  SPEED 107

Set #242 - Whirl Islands Swarms (rate=1)
POOCHYENA Lv1            HP 20  ATK 50  DEF 56  SPATK 11  SPDEF 58  SPEED 70 

Set #243 - Whirl Islands Grass/Cave (rate=5)
TAILLOW Lv33             HP 63  ATK 67  DEF 55  SPATK 52  SPDEF 69  SPEED 67 
ANORITH Lv35             HP 21  ATK 24  DEF 48  SPATK 48  SPDEF 55  SPEED 13 
TOGEKISS Lv33            HP 97  ATK 100 DEF 61  SPATK 109 SPDEF 53  SPEED 49 
SANDSHREW Lv35           HP 79  ATK 10  DEF 25  SPATK 19  SPDEF 56  SPEED 70 
BEAUTIFLY Lv36           HP 79  ATK 101 DEF 101 SPATK 70  SPDEF 118 SPEED 108
LATIAS Lv36              HP 140 ATK 91  DEF 86  SPATK 92  SPDEF 64  SPEED 12 
NUMEL Lv33               HP 36  ATK 42  DEF 59  SPATK 10  SPDEF 10  SPEED 68 
HORSEA Lv33              HP 83  ATK 16  DEF 41  SPATK 86  SPDEF 60  SPEED 85 
PORYGON2 Lv35            HP 48  ATK 26  DEF 50  SPATK 86  SPDEF 37  SPEED 45 
BALTOY Lv36              HP 83  ATK 117 DEF 123 SPATK 38  SPDEF 57  SPEED 19 
LILEEP Lv35              HP 20  ATK 43  DEF 77  SPATK 72  SPDEF 27  SPEED 69 
PIKACHU Lv36             HP 119 ATK 61  DEF 42  SPATK 111 SPDEF 58  SPEED 60 

Set #244 - Whirl Islands Hoenn/Sinnoh Radio (rate=1)
GLOOM Lv1                HP 20  ATK 31  DEF 70  SPATK 11  SPDEF 66  SPEED 61 
MARSHTOMP Lv1            HP 71  ATK 80  DEF 10  SPATK 96  SPDEF 10  SPEED 79 
PIDGEOTTO Lv1            HP 52  ATK 10  DEF 57  SPATK 40  SPDEF 71  SPEED 58 
MAROWAK Lv1              HP 86  ATK 92  DEF 107 SPATK 86  SPDEF 17  SPEED 130

Set #245 - Whirl Islands Surfing (rate=10)
CLOYSTER Lvs 23-38       HP 141 ATK 16  DEF 152 SPATK 88  SPDEF 86  SPEED 67 
VULPIX Lvs 23-38         HP 20  ATK 84  DEF 80  SPATK 76  SPDEF 10  SPEED 82 
STANTLER Lvs 23-38       HP 115 ATK 96  DEF 18  SPATK 43  SPDEF 136 SPEED 13 
PILOSWINE Lvs 23-38      HP 20  ATK 22  DEF 74  SPATK 92  SPDEF 20  SPEED 120
PONYTA Lv45              HP 20  ATK 10  DEF 77  SPATK 39  SPDEF 74  SPEED 84 

Set #246 - Whirl Islands Old Rod (rate=25)
DIALGA Lv15              HP 57  ATK 82  DEF 96  SPATK 106 SPDEF 86  SPEED 62 
WIGGLYTUFF Lv15          HP 194 ATK 74  DEF 42  SPATK 144 SPDEF 26  SPEED 25 
CHANSEY Lv15             HP 24  ATK 37  DEF 41  SPATK 51  SPDEF 46  SPEED 58 
TROPIUS Lv15             HP 64  ATK 43  DEF 91  SPATK 117 SPDEF 84  SPEED 64 
DELIBIRD Lv15            HP 103 ATK 18  DEF 113 SPATK 127 SPDEF 12  SPEED 42 

Set #247 - Whirl Islands Good Rod (rate=50)
ZUBAT Lv30               HP 60  ATK 79  DEF 71  SPATK 35  SPDEF 54  SPEED 13 
EKANS Lv30               HP 84  ATK 48  DEF 54  SPATK 14  SPDEF 64  SPEED 12 
ANORITH Lv30             HP 21  ATK 24  DEF 48  SPATK 48  SPDEF 55  SPEED 13 
KIRLIA Lv30              HP 43  ATK 51  DEF 45  SPATK 50  SPDEF 30  SPEED 49 
OCTILLERY Lv30           HP 113 ATK 121 DEF 105 SPATK 53  SPDEF 32  SPEED 38 

Set #248 - Whirl Islands Super Rod (rate=75)
STARYU Lv60              HP 65  ATK 58  DEF 55  SPATK 13  SPDEF 67  SPEED 37 
TOGEKISS Lv60            HP 97  ATK 100 DEF 61  SPATK 109 SPDEF 53  SPEED 49 
EEVEE Lv60               HP 60  ATK 43  DEF 10  SPATK 10  SPDEF 63  SPEED 47 
PORYGON-Z Lv60           HP 31  ATK 78  DEF 183 SPATK 20  SPDEF 47  SPEED 78 
MASQUERAIN Lv60          HP 107 ATK 29  DEF 99  SPATK 38  SPDEF 104 SPEED 137

Set #249 - Whirl Islands Swarms (rate=1)
AMPHAROS Lv1             HP 20  ATK 125 DEF 133 SPATK 76  SPDEF 71  SPEED 149
HUNTAIL Lv1              HP 51  ATK 29  DEF 117 SPATK 133 SPDEF 146 SPEED 57 

Set #250 - Whirl Islands Night Fishing Replacement (rate=1)
PURUGLY Lv1              HP 143 ATK 93  DEF 124 SPATK 10  SPDEF 122 SPEED 52 

Set #251 - Whirl Islands Fishing Swarm (rate=1)
SKARMORY Lv1             HP 153 ATK 79  DEF 169 SPATK 59  SPDEF 34  SPEED 71 

Set #252 - Whirl Islands Grass/Cave (rate=5)
ELECTIVIRE Lv35          HP 55  ATK 107 DEF 119 SPATK 110 SPDEF 133 SPEED 36 
BASTIODON Lv36           HP 59  ATK 90  DEF 78  SPATK 90  SPDEF 58  SPEED 61 
LAIRON Lv35              HP 20  ATK 85  DEF 22  SPATK 116 SPDEF 72  SPEED 10 
AZUMARILL Lv36           HP 62  ATK 115 DEF 128 SPATK 21  SPDEF 51  SPEED 47 
NIDORINA Lv38            HP 57  ATK 66  DEF 58  SPATK 51  SPDEF 44  SPEED 104
SWELLOW Lv38             HP 134 ATK 125 DEF 204 SPATK 32  SPDEF 15  SPEED 49 
PHIONE Lv35              HP 34  ATK 173 DEF 168 SPATK 31  SPDEF 167 SPEED 95 
PRINPLUP Lv35            HP 20  ATK 103 DEF 117 SPATK 19  SPDEF 142 SPEED 45 
SLUGMA Lv36              HP 40  ATK 31  DEF 44  SPATK 30  SPDEF 52  SPEED 32 
RHYPERIOR Lv38           HP 20  ATK 111 DEF 64  SPATK 134 SPDEF 52  SPEED 121
GIRAFARIG Lv36           HP 83  ATK 75  DEF 72  SPATK 98  SPDEF 69  SPEED 73 
GLALIE Lv38              HP 38  ATK 34  DEF 127 SPATK 13  SPDEF 141 SPEED 128

Set #253 - Whirl Islands Hoenn/Sinnoh Radio (rate=1)
MR. MIME Lv1             HP 85  ATK 73  DEF 148 SPATK 13  SPDEF 51  SPEED 94 
HAUNTER Lv1              HP 60  ATK 101 DEF 52  SPATK 24  SPDEF 145 SPEED 24 
SUNKERN Lv1              HP 89  ATK 94  DEF 42  SPATK 91  SPDEF 121 SPEED 40 
FLYGON Lv1               HP 38  ATK 49  DEF 164 SPATK 76  SPDEF 179 SPEED 98 

Set #254 - Whirl Islands Swarms (rate=1)
FLAAFFY Lv1              HP 78  ATK 29  DEF 44  SPATK 123 SPDEF 18  SPEED 67 

Set #255 - Cianwood City Surfing (rate=15)
CLEFAIRY Lvs 23-38       HP 73  ATK 94  DEF 13  SPATK 60  SPDEF 174 SPEED 81 
DUSTOX Lvs 15-30         HP 46  ATK 96  DEF 94  SPATK 111 SPDEF 71  SPEED 105
POLIWAG Lvs 23-38        HP 20  ATK 14  DEF 89  SPATK 72  SPDEF 29  SPEED 140
LOPUNNY Lvs 23-38        HP 29  ATK 90  DEF 15  SPATK 119 SPDEF 90  SPEED 65 
SLAKING Lvs 23-38        HP 129 ATK 148 DEF 62  SPATK 41  SPDEF 121 SPEED 90 

Set #256 - Cianwood City Rock Smash (rate=30)
HITMONCHAN Lvs 23-36     HP 128 ATK 63  DEF 65  SPATK 22  SPDEF 85  SPEED 59 
BUIZEL Lvs 35-42         HP 20  ATK 75  DEF 121 SPATK 49  SPDEF 63  SPEED 126

Set #257 - Cianwood City Old Rod (rate=25)
FORRETRESS Lv15          HP 60  ATK 104 DEF 77  SPATK 117 SPDEF 70  SPEED 55 
PORYGON2 Lv15            HP 48  ATK 26  DEF 50  SPATK 86  SPDEF 37  SPEED 45 
ODDISH Lv15              HP 84  ATK 98  DEF 68  SPATK 33  SPDEF 12  SPEED 33 
MANTINE Lv15             HP 66  ATK 10  DEF 10  SPATK 80  SPDEF 130 SPEED 139
STARYU Lv15              HP 65  ATK 58  DEF 55  SPATK 13  SPDEF 67  SPEED 37 

Set #258 - Cianwood City Good Rod (rate=50)
CHIKORITA Lv30           HP 39  ATK 13  DEF 60  SPATK 49  SPDEF 52  SPEED 17 
CLEFAIRY Lv30            HP 73  ATK 94  DEF 13  SPATK 60  SPDEF 174 SPEED 81 
HYPNO Lv30               HP 154 ATK 126 DEF 17  SPATK 16  SPDEF 70  SPEED 119
SILCOON Lv30             HP 24  ATK 55  DEF 36  SPATK 20  SPDEF 10  SPEED 54 
NATU Lv30                HP 20  ATK 10  DEF 31  SPATK 78  SPDEF 139 SPEED 119

Set #259 - Cianwood City Super Rod (rate=75)
FURRET Lv60              HP 25  ATK 77  DEF 138 SPATK 156 SPDEF 13  SPEED 79 
POLIWHIRL Lv60           HP 103 ATK 64  DEF 31  SPATK 16  SPDEF 16  SPEED 27 
SPIRITOMB Lv60           HP 118 ATK 73  DEF 27  SPATK 81  SPDEF 112 SPEED 134
LICKITUNG Lv60           HP 37  ATK 76  DEF 32  SPATK 75  SPDEF 95  SPEED 115
DRIFLOON Lv60            HP 65  ATK 10  DEF 20  SPATK 64  SPDEF 10  SPEED 53 

Set #260 - Cianwood City Swarms (rate=1)
PORYGON-Z Lv1            HP 31  ATK 78  DEF 183 SPATK 20  SPDEF 47  SPEED 78 

Set #261 - Cianwood City Night Fishing Replacement (rate=1)
SANDSLASH Lv1            HP 75  ATK 137 DEF 56  SPATK 70  SPDEF 63  SPEED 73 

Set #262 - Cianwood City Fishing Swarm (rate=1)
MILTANK Lv1              HP 89  ATK 114 DEF 80  SPATK 90  SPDEF 47  SPEED 34 

Set #263 - Route 42 Grass/Cave (rate=25)
SHUPPET Lv20             HP 45  ATK 144 DEF 19  SPATK 88  SPDEF 44  SPEED 35 
RAPIDASH Lv21            HP 69  ATK 41  DEF 90  SPATK 143 SPDEF 101 SPEED 28 
ILLUMISE Lv20            HP 123 ATK 80  DEF 19  SPATK 123 SPDEF 24  SPEED 111
GLOOM Lv21               HP 20  ATK 31  DEF 70  SPATK 11  SPDEF 66  SPEED 61 
LAPRAS Lv23              HP 56  ATK 122 DEF 50  SPATK 95  SPDEF 83  SPEED 81 
GIRATINA Lv23            HP 20  ATK 91  DEF 149 SPATK 138 SPDEF 57  SPEED 27 
SLUGMA Lv24              HP 40  ATK 31  DEF 44  SPATK 30  SPDEF 52  SPEED 32 
RAICHU Lv24              HP 145 ATK 83  DEF 61  SPATK 142 SPDEF 31  SPEED 19 
LOTAD Lv23               HP 82  ATK 94  DEF 73  SPATK 82  SPDEF 38  SPEED 82 
SNUBBULL Lv26            HP 70  ATK 165 DEF 50  SPATK 123 SPDEF 17  SPEED 73 
CUBONE Lv23              HP 86  ATK 37  DEF 31  SPATK 72  SPDEF 101 SPEED 67 
LANTURN Lv26             HP 95  ATK 32  DEF 94  SPATK 79  SPDEF 49  SPEED 97 

Set #264 - Route 42 Hoenn/Sinnoh Radio (rate=1)
GABITE Lv1               HP 51  ATK 94  DEF 44  SPATK 11  SPDEF 69  SPEED 30 
LARVITAR Lv1             HP 72  ATK 36  DEF 62  SPATK 49  SPDEF 30  SPEED 23 
REGISTEEL Lv1            HP 24  ATK 129 DEF 134 SPATK 139 SPDEF 44  SPEED 30 
VAPOREON Lv1             HP 75  ATK 94  DEF 39  SPATK 77  SPDEF 142 SPEED 66 

Set #265 - Route 42 Surfing (rate=10)
WEEZING Lvs 23-38        HP 221 ATK 100 DEF 19  SPATK 150 SPDEF 40  SPEED 42 
GASTRODON Lvs 15-30      HP 81  ATK 104 DEF 84  SPATK 83  SPDEF 68  SPEED 47 
TOGEPI Lvs 23-38         HP 49  ATK 70  DEF 27  SPATK 70  SPDEF 37  SPEED 24 
POLITOED Lvs 23-38       HP 97  ATK 28  DEF 110 SPATK 100 SPDEF 92  SPEED 58 
MARSHTOMP Lvs 23-38      HP 71  ATK 80  DEF 10  SPATK 96  SPDEF 10  SPEED 79 

Set #266 - Route 42 Old Rod (rate=25)
LATIAS Lv15              HP 140 ATK 91  DEF 86  SPATK 92  SPDEF 64  SPEED 12 
SPOINK Lv15              HP 38  ATK 26  DEF 42  SPATK 19  SPDEF 24  SPEED 61 
KYOGRE Lv15              HP 73  ATK 75  DEF 62  SPATK 129 SPDEF 48  SPEED 119
MILTANK Lv15             HP 89  ATK 114 DEF 80  SPATK 90  SPDEF 47  SPEED 34 
JIGGLYPUFF Lv15          HP 73  ATK 76  DEF 25  SPATK 52  SPDEF 46  SPEED 50 

Set #267 - Route 42 Good Rod (rate=50)
PIDGEOT Lv30             HP 79  ATK 43  DEF 31  SPATK 16  SPDEF 114 SPEED 215
STARMIE Lv30             HP 186 ATK 30  DEF 112 SPATK 192 SPDEF 178 SPEED 21 
NOCTOWL Lv30             HP 102 ATK 105 DEF 64  SPATK 97  SPDEF 41  SPEED 126
VULPIX Lv30              HP 20  ATK 84  DEF 80  SPATK 76  SPDEF 10  SPEED 82 
MAGBY Lv30               HP 63  ATK 41  DEF 69  SPATK 28  SPDEF 14  SPEED 143

Set #268 - Route 42 Super Rod (rate=75)
SPEAROW Lv60             HP 58  ATK 18  DEF 19  SPATK 107 SPDEF 125 SPEED 74 
PARAS Lv60               HP 20  ATK 56  DEF 53  SPATK 21  SPDEF 116 SPEED 106
URSARING Lv60            HP 72  ATK 47  DEF 114 SPATK 112 SPDEF 31  SPEED 113
CACTURNE Lv60            HP 20  ATK 50  DEF 57  SPATK 193 SPDEF 88  SPEED 67 
SPHEAL Lv60              HP 20  ATK 53  DEF 48  SPATK 60  SPDEF 21  SPEED 30 

Set #269 - Route 42 Swarms (rate=1)
IVYSAUR Lv1              HP 23  ATK 81  DEF 57  SPATK 106 SPDEF 29  SPEED 38 
CYNDAQUIL Lv1            HP 82  ATK 42  DEF 103 SPATK 52  SPDEF 44  SPEED 28 

Set #270 - Route 42 Night Fishing Replacement (rate=1)
MILTANK Lv1              HP 89  ATK 114 DEF 80  SPATK 90  SPDEF 47  SPEED 34 

Set #271 - Route 42 Fishing Swarm (rate=1)
SWALOT Lv1               HP 100 ATK 22  DEF 112 SPATK 117 SPDEF 121 SPEED 52 

Set #272 - Mt. Mortar Grass/Cave (rate=10)
SLOWKING Lv20            HP 101 ATK 94  DEF 90  SPATK 19  SPDEF 27  SPEED 101
XATU Lv23                HP 37  ATK 125 DEF 89  SPATK 66  SPDEF 13  SPEED 111
DODUO Lv20               HP 144 ATK 108 DEF 67  SPATK 14  SPDEF 17  SPEED 80 
UXIE Lv23                HP 127 ATK 192 DEF 120 SPATK 72  SPDEF 38  SPEED 107
BURMY Lv21               HP 30  ATK 17  DEF 22  SPATK 32  SPDEF 53  SPEED 51 
PERSIAN Lv21             HP 24  ATK 64  DEF 53  SPATK 96  SPDEF 95  SPEED 82 
ZIGZAGOON Lv21           HP 63  ATK 37  DEF 47  SPATK 58  SPDEF 53  SPEED 37 
GLOOM Lv21               HP 20  ATK 31  DEF 70  SPATK 11  SPDEF 66  SPEED 61 
RHYHORN Lv21             HP 22  ATK 10  DEF 71  SPATK 76  SPDEF 78  SPEED 78 
GARDEVOIR Lv24           HP 92  ATK 89  DEF 113 SPATK 93  SPDEF 101 SPEED 77 
ROSELIA Lv21             HP 20  ATK 10  DEF 20  SPATK 78  SPDEF 25  SPEED 80 
TOXICROAK Lv23           HP 87  ATK 109 DEF 69  SPATK 62  SPDEF 78  SPEED 52 

Set #273 - Mt. Mortar Hoenn/Sinnoh Radio (rate=1)
MAGMORTAR Lv1            HP 89  ATK 112 DEF 108 SPATK 96  SPDEF 87  SPEED 93 
VAPOREON Lv1             HP 75  ATK 94  DEF 39  SPATK 77  SPDEF 142 SPEED 66 
TREECKO Lv1              HP 63  ATK 90  DEF 75  SPATK 154 SPDEF 88  SPEED 93 
PHIONE Lv1               HP 34  ATK 173 DEF 168 SPATK 31  SPDEF 167 SPEED 95 

Set #274 - Mt. Mortar Surfing (rate=10)
ARIADOS Lvs 23-38        HP 89  ATK 164 DEF 13  SPATK 169 SPDEF 65  SPEED 133
PROBOPASS Lvs 15-30      HP 116 ATK 11  DEF 117 SPATK 124 SPDEF 29  SPEED 104
AIPOM Lvs 23-38          HP 67  ATK 71  DEF 22  SPATK 49  SPDEF 77  SPEED 23 
EEVEE Lvs 23-38          HP 60  ATK 43  DEF 10  SPATK 10  SPDEF 63  SPEED 47 
MUNCHLAX Lvs 23-38       HP 26  ATK 64  DEF 27  SPATK 65  SPDEF 69  SPEED 56 

Set #275 - Mt. Mortar Old Rod (rate=25)
CLAMPERL Lv15            HP 37  ATK 48  DEF 35  SPATK 62  SPDEF 56  SPEED 42 
UXIE Lv15                HP 127 ATK 192 DEF 120 SPATK 72  SPDEF 38  SPEED 107
CLEFAIRY Lv15            HP 73  ATK 94  DEF 13  SPATK 60  SPDEF 174 SPEED 81 
BRONZOR Lv15             HP 20  ATK 10  DEF 58  SPATK 58  SPDEF 12  SPEED 59 
SHIELDON Lv15            HP 112 ATK 64  DEF 28  SPATK 105 SPDEF 51  SPEED 107

Set #276 - Mt. Mortar Good Rod (rate=50)
