Randomizer Version: 4.4.0
Random Seed: 89045239238659
Settings String: 318WRIEEgKXAJoAnQCRAAKeBnsECQEAFAACCQAuEgAAAAAADBCI5ATkQYYICTIGBQIyAAUVUG9rZW1vbiBIZWFydEdvbGQgKFUpgH3a3ePDOIo=

--Randomized Evolutions--
BULBASAUR       -> BAYLEEF        
460 ABOMASNOW     |           - |                - |              - |              - |TM05 Icicle Spear |             - |               - |               - |                - |                - |TM11 Fire Punch |               - |TM13 Hyper Beam |TM14 Amnesia |              - |TM16 Slam |              - |                - |               - |TM20 Heal Order |TM21 Tickle |TM22 DragonBreath |TM23 Power Swap |TM24 Knock Off |TM25 Water Sport |            - |TM27 Splash |                - |TM29 Wrap |TM30 Metal Claw |                - |             - |                - |               - |TM35 Bullet Punch |TM36 Sludge Bomb |             - |                - |         - |TM40 Hyper Fang |TM41 Comet Punch |                - |              - |TM44 Fire Spin |               - |TM46 Psycho Shift |                - |TM48 Synthesis |               - |TM50 Earthquake |               - |        - |TM53 Assurance |TM54 Teleport |TM55 Switcheroo |               - |               - |TM58 Rollout |               - |                - |         - |TM62 Bubble |TM63 Mud Sport |               - |TM65 Charge Beam |TM66 Tailwind |               - |TM68 Light Screen |TM69 Dig |TM70 Whirlwind |TM71 Discharge |             - |TM73 Body Slam |TM74 Bounce |             - |                - |TM77 Charm |          - |                - |TM80 Mach Punch |TM81 Mirror Shot |              - |TM83 Twineedle |         - |TM85 Steel Wing |              - |TM87 Miracle Eye |TM88 Defense Curl |TM89 Draco Meteor |TM90 Lunar Dance |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
461 WEAVILE       |           - |                - |TM03 Shock Wave |TM04 Rock Throw |                - |             - |               - |               - |                - |                - |TM11 Fire Punch |               - |              - |           - |              - |        - |TM17 Arm Thrust |                - |TM19 Last Resort |TM20 Heal Order |          - |                - |              - |             - |TM25 Water Sport |TM26 Judgment |TM27 Splash |TM28 Sky Uppercut |        - |              - |                - |             - |TM33 Quick Attack |               - |TM35 Bullet Punch |               - |             - |                - |         - |TM40 Hyper Fang |TM41 Comet Punch |                - |              - |TM44 Fire Spin |               - |TM46 Psycho Shift |                - |             - |TM49 Sweet Scent |              - |TM51 Perish Song |        - |TM53 Assurance |TM54 Teleport |TM55 Switcheroo |TM56 Giga Impact |TM57 Magma Storm |TM58 Rollout |               - |                - |TM61 Feint |TM62 Bubble |             - |               - |               - |            - |TM67 Mirror Coat |                - |       - |TM70 Whirlwind |TM71 Discharge |             - |             - |          - |TM75 Foresight |TM76 Magical Leaf |TM77 Charm |          - |TM79 AncientPower |              - |               - |TM82 Supersonic |TM83 Twineedle |TM84 Snore |              - |TM86 Drill Peck |               - |TM88 Defense Curl |                - |               - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
462 MAGNEZONE     |           - |                - |TM03 Shock Wave |              - |TM05 Icicle Spear |             - |               - |               - |                - |                - |              - |               - |              - |           - |TM15 Fake Tears |        - |TM17 Arm Thrust |                - |               - |              - |TM21 Tickle |TM22 DragonBreath |              - |             - |               - |            - |          - |TM28 Sky Uppercut |TM29 Wrap |TM30 Metal Claw |TM31 Spacial Rend |TM32 Role Play |TM33 Quick Attack |               - |TM35 Bullet Punch |TM36 Sludge Bomb |TM37 SolarBeam |TM38 Cotton Spore |TM39 Curse |TM40 Hyper Fang |               - |                - |TM43 Super Fang |             - |               - |TM46 Psycho Shift |                - |TM48 Synthesis |TM49 Sweet Scent |TM50 Earthquake |               - |TM52 Wish |TM53 Assurance |TM54 Teleport |TM55 Switcheroo |TM56 Giga Impact |               - |           - |               - |                - |         - |          - |TM63 Mud Sport |               - |TM65 Charge Beam |TM66 Tailwind |TM67 Mirror Coat |                - |       - |TM70 Whirlwind |TM71 Discharge |TM72 Vine Whip |TM73 Body Slam |          - |             - |                - |         - |TM78 Absorb |TM79 AncientPower |TM80 Mach Punch |               - |              - |TM83 Twineedle |TM84 Snore |TM85 Steel Wing |TM86 Drill Peck |               - |                - |                - |TM90 Lunar Dance |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
463 LICKILICKY    |TM01 Reflect |TM02 Faint Attack |              - |              - |TM05 Icicle Spear |TM06 Air Slash |               - |               - |TM09 Shadow Punch |                - |              - |TM12 Poison Tail |              - |           - |TM15 Fake Tears |        - |TM17 Arm Thrust |                - |TM19 Last Resort |TM20 Heal Order |TM21 Tickle |                - |TM23 Power Swap |TM24 Knock Off |TM25 Water Sport |            - |TM27 Splash |TM28 Sky Uppercut |TM29 Wrap |TM30 Metal Claw |                - |             - |TM33 Quick Attack |               - |TM35 Bullet Punch |               - |TM37 SolarBeam |                - |         - |TM40 Hyper Fang |               - |                - |TM43 Super Fang |             - |TM45 Thunderbolt |                - |TM47 DynamicPunch |TM48 Synthesis |               - |              - |               - |        - |             - |TM54 Teleport |              - |TM56 Giga Impact |TM57 Magma Storm |TM58 Rollout |TM59 False Swipe |                - |TM61 Feint |TM62 Bubble |             - |TM64 Muddy Water |TM65 Charge Beam |            - |TM67 Mirror Coat |                - |TM69 Dig |             - |             - |TM72 Vine Whip |             - |          - |TM75 Foresight |                - |         - |          - |                - |              - |               - |              - |             - |         - |TM85 Steel Wing |              - |               - |TM88 Defense Curl |                - |               - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
464 RHYPERIOR     |TM01 Reflect |TM02 Faint Attack |TM03 Shock Wave |TM04 Rock Throw |                - |             - |TM07 Lovely Kiss |TM08 Fury Attack |                - |                - |TM11 Fire Punch |               - |TM13 Hyper Beam |TM14 Amnesia |              - |        - |              - |                - |TM19 Last Resort |TM20 Heal Order |TM21 Tickle |                - |TM23 Power Swap |             - |               - |            - |TM27 Splash |TM28 Sky Uppercut |        - |TM30 Metal Claw |TM31 Spacial Rend |TM32 Role Play |TM33 Quick Attack |               - |                - |TM36 Sludge Bomb |             - |                - |TM39 Curse |              - |               - |TM42 Natural Gift |              - |             - |               - |                - |TM47 DynamicPunch |TM48 Synthesis |TM49 Sweet Scent |TM50 Earthquake |TM51 Perish Song |TM52 Wish |             - |            - |              - |TM56 Giga Impact |               - |           - |TM59 False Swipe |                - |         - |          - |             - |TM64 Muddy Water |               - |TM66 Tailwind |               - |                - |TM69 Dig |             - |             - |TM72 Vine Whip |             - |          - |             - |TM76 Magical Leaf |TM77 Charm |TM78 Absorb |TM79 AncientPower |TM80 Mach Punch |TM81 Mirror Shot |TM82 Supersonic |             - |TM84 Snore |              - |TM86 Drill Peck |TM87 Miracle Eye |TM88 Defense Curl |TM89 Draco Meteor |TM90 Lunar Dance |TM91 Bug Buzz |TM92 Tri Attack |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
465 TANGROWTH     |TM01 Reflect |TM02 Faint Attack |TM03 Shock Wave |TM04 Rock Throw |                - |             - |TM07 Lovely Kiss |               - |TM09 Shadow Punch |TM10 Seismic Toss |              - |TM12 Poison Tail |TM13 Hyper Beam |           - |              - |TM16 Slam |              - |TM18 Weather Ball |               - |TM20 Heal Order |TM21 Tickle |TM22 DragonBreath |              - |             - |TM25 Water Sport |TM26 Judgment |TM27 Splash |                - |TM29 Wrap |              - |                - |TM32 Role Play |                - |TM34 Dream Eater |                - |               - |TM37 SolarBeam |TM38 Cotton Spore |         - |              - |               - |TM42 Natural Gift |              - |TM44 Fire Spin |TM45 Thunderbolt |TM46 Psycho Shift |TM47 DynamicPunch |TM48 Synthesis |               - |              - |TM51 Perish Song |TM52 Wish |TM53 Assurance |TM54 Teleport |              - |               - |TM57 Magma Storm |TM58 Rollout |TM59 False Swipe |                - |TM61 Feint |TM62 Bubble |             - |TM64 Muddy Water |               - |TM66 Tailwind |               - |                - |       - |TM70 Whirlwind |             - |TM72 Vine Whip |             - |TM74 Bounce |TM75 Foresight |                - |         - |          - |TM79 AncientPower |TM80 Mach Punch |TM81 Mirror Shot |              - |             - |TM84 Snore |TM85 Steel Wing |              - |TM87 Miracle Eye |TM88 Defense Curl |TM89 Draco Meteor |               - |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
466 ELECTIVIRE    |TM01 Reflect |TM02 Faint Attack |TM03 Shock Wave |TM04 Rock Throw |TM05 Icicle Spear |TM06 Air Slash |TM07 Lovely Kiss |TM08 Fury Attack |                - |                - |TM11 Fire Punch |TM12 Poison Tail |TM13 Hyper Beam |TM14 Amnesia |TM15 Fake Tears |        - |TM17 Arm Thrust |TM18 Weather Ball |               - |              - |TM21 Tickle |TM22 DragonBreath |              - |             - |               - |TM26 Judgment |          - |                - |        - |              - |                - |             - |TM33 Quick Attack |               - |TM35 Bullet Punch |TM36 Sludge Bomb |TM37 SolarBeam |TM38 Cotton Spore |         - |TM40 Hyper Fang |               - |TM42 Natural Gift |              - |TM44 Fire Spin |               - |                - |TM47 DynamicPunch |TM48 Synthesis |TM49 Sweet Scent |              - |TM51 Perish Song |        - |TM53 Assurance |TM54 Teleport |              - |               - |               - |TM58 Rollout |               - |TM60 Thunder Fang |         - |TM62 Bubble |TM63 Mud Sport |               - |               - |            - |TM67 Mirror Coat |                - |       - |TM70 Whirlwind |TM71 Discharge |             - |             - |          - |TM75 Foresight |TM76 Magical Leaf |TM77 Charm |TM78 Absorb |TM79 AncientPower |TM80 Mach Punch |TM81 Mirror Shot |TM82 Supersonic |TM83 Twineedle |         - |TM85 Steel Wing |TM86 Drill Peck |TM87 Miracle Eye |TM88 Defense Curl |TM89 Draco Meteor |               - |            - |TM92 Tri Attack |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
467 MAGMORTAR     |           - |TM02 Faint Attack |TM03 Shock Wave |TM04 Rock Throw |                - |TM06 Air Slash |TM07 Lovely Kiss |TM08 Fury Attack |TM09 Shadow Punch |                - |              - |               - |              - |TM14 Amnesia |TM15 Fake Tears |TM16 Slam |TM17 Arm Thrust |TM18 Weather Ball |               - |              - |          - |TM22 DragonBreath |TM23 Power Swap |             - |               - |TM26 Judgment |          - |                - |TM29 Wrap |              - |                - |             - |TM33 Quick Attack |               - |                - |               - |             - |                - |TM39 Curse |              - |TM41 Comet Punch |                - |TM43 Super Fang |             - |               - |                - |TM47 DynamicPunch |TM48 Synthesis |TM49 Sweet Scent |TM50 Earthquake |TM51 Perish Song |        - |TM53 Assurance |            - |TM55 Switcheroo |               - |TM57 Magma Storm |           - |               - |                - |         - |TM62 Bubble |             - |TM64 Muddy Water |               - |            - |TM67 Mirror Coat |                - |       - |             - |             - |TM72 Vine Whip |             - |TM74 Bounce |TM75 Foresight |TM76 Magical Leaf |         - |TM78 Absorb |TM79 AncientPower |TM80 Mach Punch |TM81 Mirror Shot |TM82 Supersonic |             - |TM84 Snore |TM85 Steel Wing |TM86 Drill Peck |               - |                - |TM89 Draco Meteor |TM90 Lunar Dance |TM91 Bug Buzz |TM92 Tri Attack |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
468 TOGEKISS      |           - |TM02 Faint Attack |              - |TM04 Rock Throw |                - |             - |TM07 Lovely Kiss |               - |                - |TM10 Seismic Toss |TM11 Fire Punch |TM12 Poison Tail |              - |TM14 Amnesia |              - |TM16 Slam |TM17 Arm Thrust |TM18 Weather Ball |               - |TM20 Heal Order |          - |TM22 DragonBreath |TM23 Power Swap |             - |               - |            - |TM27 Splash |                - |TM29 Wrap |TM30 Metal Claw |                - |             - |TM33 Quick Attack |               - |                - |               - |TM37 SolarBeam |                - |TM39 Curse |TM40 Hyper Fang |TM41 Comet Punch |                - |              - |             - |               - |TM46 Psycho Shift |                - |             - |               - |              - |               - |TM52 Wish |             - |            - |              - |               - |TM57 Magma Storm |TM58 Rollout |               - |TM60 Thunder Fang |TM61 Feint |          - |             - |               - |               - |            - |               - |TM68 Light Screen |       - |             - |             - |TM72 Vine Whip |TM73 Body Slam |TM74 Bounce |TM75 Foresight |                - |         - |TM78 Absorb |                - |              - |               - |              - |             - |TM84 Snore |              - |              - |               - |                - |                - |TM90 Lunar Dance |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
469 YANMEGA       |           - |TM02 Faint Attack |              - |TM04 Rock Throw |                - |             - |TM07 Lovely Kiss |               - |TM09 Shadow Punch |TM10 Seismic Toss |TM11 Fire Punch |               - |              - |           - |TM15 Fake Tears |        - |              - |TM18 Weather Ball |TM19 Last Resort |TM20 Heal Order |TM21 Tickle |TM22 DragonBreath |TM23 Power Swap |TM24 Knock Off |TM25 Water Sport |TM26 Judgment |TM27 Splash |                - |        - |              - |TM31 Spacial Rend |             - |                - |               - |                - |               - |TM37 SolarBeam |TM38 Cotton Spore |TM39 Curse |              - |TM41 Comet Punch |                - |TM43 Super Fang |             - |               - |                - |                - |TM48 Synthesis |               - |TM50 Earthquake |               - |TM52 Wish |             - |            - |TM55 Switcheroo |               - |TM57 Magma Storm |           - |               - |TM60 Thunder Fang |TM61 Feint |TM62 Bubble |             - |TM64 Muddy Water |               - |TM66 Tailwind |               - |                - |       - |TM70 Whirlwind |TM71 Discharge |             - |             - |          - |             - |TM76 Magical Leaf |         - |          - |                - |TM80 Mach Punch |TM81 Mirror Shot |TM82 Supersonic |TM83 Twineedle |TM84 Snore |TM85 Steel Wing |              - |               - |TM88 Defense Curl |                - |               - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
470 LEAFEON       |           - |TM02 Faint Attack |TM03 Shock Wave |TM04 Rock Throw |TM05 Icicle Spear |TM06 Air Slash |TM07 Lovely Kiss |TM08 Fury Attack |TM09 Shadow Punch |TM10 Seismic Toss |TM11 Fire Punch |TM12 Poison Tail |TM13 Hyper Beam |TM14 Amnesia |              - |        - |              - |                - |TM19 Last Resort |              - |TM21 Tickle |                - |TM23 Power Swap |             - |TM25 Water Sport |TM26 Judgment |TM27 Splash |TM28 Sky Uppercut |TM29 Wrap |TM30 Metal Claw |TM31 Spacial Rend |             - |TM33 Quick Attack |               - |                - |TM36 Sludge Bomb |TM37 SolarBeam |TM38 Cotton Spore |TM39 Curse |TM40 Hyper Fang |               - |TM42 Natural Gift |TM43 Super Fang |             - |               - |TM46 Psycho Shift |                - |TM48 Synthesis |TM49 Sweet Scent |              - |TM51 Perish Song |        - |TM53 Assurance |TM54 Teleport |              - |               - |               - |TM58 Rollout |TM59 False Swipe |                - |         - |TM62 Bubble |             - |TM64 Muddy Water |               - |            - |TM67 Mirror Coat |TM68 Light Screen |TM69 Dig |TM70 Whirlwind |             - |             - |TM73 Body Slam |          - |TM75 Foresight |TM76 Magical Leaf |         - |          - |TM79 AncientPower |              - |               - |TM82 Supersonic |TM83 Twineedle |         - |              - |              - |TM87 Miracle Eye |                - |TM89 Draco Meteor |TM90 Lunar Dance |TM91 Bug Buzz |TM92 Tri Attack |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
471 GLACEON       |TM01 Reflect |                - |TM03 Shock Wave |TM04 Rock Throw |TM05 Icicle Spear |TM06 Air Slash |TM07 Lovely Kiss |TM08 Fury Attack |                - |TM10 Seismic Toss |TM11 Fire Punch |               - |TM13 Hyper Beam |           - |TM15 Fake Tears |        - |TM17 Arm Thrust |TM18 Weather Ball |               - |TM20 Heal Order |          - |TM22 DragonBreath |              - |TM24 Knock Off |               - |TM26 Judgment |TM27 Splash |TM28 Sky Uppercut |        - |TM30 Metal Claw |TM31 Spacial Rend |             - |                - |               - |TM35 Bullet Punch |               - |             - |TM38 Cotton Spore |         - |TM40 Hyper Fang |               - |TM42 Natural Gift |TM43 Super Fang |             - |               - |                - |                - |TM48 Synthesis |TM49 Sweet Scent |              - |               - |TM52 Wish |             - |            - |              - |               - |TM57 Magma Storm |           - |TM59 False Swipe |TM60 Thunder Fang |         - |TM62 Bubble |             - |               - |TM65 Charge Beam |TM66 Tailwind |               - |TM68 Light Screen |TM69 Dig |TM70 Whirlwind |TM71 Discharge |TM72 Vine Whip |             - |          - |             - |TM76 Magical Leaf |TM77 Charm |TM78 Absorb |TM79 AncientPower |              - |TM81 Mirror Shot |              - |TM83 Twineedle |TM84 Snore |              - |              - |TM87 Miracle Eye |                - |TM89 Draco Meteor |               - |            - |TM92 Tri Attack |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
472 GLISCOR       |TM01 Reflect |                - |              - |              - |                - |TM06 Air Slash |TM07 Lovely Kiss |               - |                - |TM10 Seismic Toss |TM11 Fire Punch |TM12 Poison Tail |              - |TM14 Amnesia |TM15 Fake Tears |        - |TM17 Arm Thrust |                - |TM19 Last Resort |              - |          - |                - |TM23 Power Swap |             - |TM25 Water Sport |TM26 Judgment |TM27 Splash |TM28 Sky Uppercut |        - |TM30 Metal Claw |TM31 Spacial Rend |TM32 Role Play |TM33 Quick Attack |               - |                - |TM36 Sludge Bomb |             - |TM38 Cotton Spore |TM39 Curse |TM40 Hyper Fang |               - |TM42 Natural Gift |TM43 Super Fang |TM44 Fire Spin |TM45 Thunderbolt |TM46 Psycho Shift |TM47 DynamicPunch |TM48 Synthesis |               - |              - |               - |        - |             - |            - |TM55 Switcheroo |TM56 Giga Impact |               - |           - |               - |TM60 Thunder Fang |TM61 Feint |TM62 Bubble |TM63 Mud Sport |TM64 Muddy Water |TM65 Charge Beam |            - |               - |TM68 Light Screen |       - |TM70 Whirlwind |             - |             - |             - |          - |TM75 Foresight |                - |TM77 Charm |TM78 Absorb |                - |              - |TM81 Mirror Shot |              - |             - |TM84 Snore |              - |TM86 Drill Peck |               - |TM88 Defense Curl |TM89 Draco Meteor |TM90 Lunar Dance |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
473 MAMOSWINE     |TM01 Reflect |TM02 Faint Attack |TM03 Shock Wave |              - |                - |TM06 Air Slash |               - |TM08 Fury Attack |TM09 Shadow Punch |                - |              - |TM12 Poison Tail |              - |           - |TM15 Fake Tears |TM16 Slam |TM17 Arm Thrust |TM18 Weather Ball |               - |              - |TM21 Tickle |TM22 DragonBreath |TM23 Power Swap |             - |               - |TM26 Judgment |          - |TM28 Sky Uppercut |        - |TM30 Metal Claw |                - |             - |TM33 Quick Attack |               - |                - |TM36 Sludge Bomb |TM37 SolarBeam |TM38 Cotton Spore |         - |              - |TM41 Comet Punch |TM42 Natural Gift |              - |TM44 Fire Spin |               - |TM46 Psycho Shift |TM47 DynamicPunch |TM48 Synthesis |               - |              - |TM51 Perish Song |        - |             - |TM54 Teleport |TM55 Switcheroo |TM56 Giga Impact |               - |TM58 Rollout |TM59 False Swipe |                - |TM61 Feint |          - |             - |               - |TM65 Charge Beam |TM66 Tailwind |               - |                - |TM69 Dig |TM70 Whirlwind |TM71 Discharge |             - |             - |TM74 Bounce |TM75 Foresight |                - |         - |          - |TM79 AncientPower |TM80 Mach Punch |               - |              - |             - |TM84 Snore |              - |TM86 Drill Peck |TM87 Miracle Eye |                - |                - |               - |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
474 PORYGON-Z     |           - |                - |TM03 Shock Wave |              - |                - |             - |               - |               - |TM09 Shadow Punch |TM10 Seismic Toss |              - |               - |TM13 Hyper Beam |           - |              - |TM16 Slam |TM17 Arm Thrust |TM18 Weather Ball |               - |              - |          - |TM22 DragonBreath |TM23 Power Swap |             - |TM25 Water Sport |            - |TM27 Splash |TM28 Sky Uppercut |        - |              - |                - |             - |                - |               - |TM35 Bullet Punch |TM36 Sludge Bomb |             - |                - |         - |              - |TM41 Comet Punch |                - |TM43 Super Fang |             - |TM45 Thunderbolt |                - |TM47 DynamicPunch |TM48 Synthesis |               - |TM50 Earthquake |               - |TM52 Wish |             - |            - |              - |TM56 Giga Impact |TM57 Magma Storm |           - |               - |TM60 Thunder Fang |         - |TM62 Bubble |TM63 Mud Sport |TM64 Muddy Water |               - |            - |               - |                - |       - |TM70 Whirlwind |TM71 Discharge |TM72 Vine Whip |TM73 Body Slam |          - |             - |                - |         - |          - |TM79 AncientPower |              - |TM81 Mirror Shot |              - |TM83 Twineedle |         - |              - |              - |               - |                - |                - |               - |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
475 GALLADE       |           - |TM02 Faint Attack |              - |              - |                - |TM06 Air Slash |               - |TM08 Fury Attack |TM09 Shadow Punch |TM10 Seismic Toss |TM11 Fire Punch |               - |              - |TM14 Amnesia |              - |        - |              - |                - |TM19 Last Resort |              - |TM21 Tickle |                - |TM23 Power Swap |TM24 Knock Off |               - |TM26 Judgment |TM27 Splash |TM28 Sky Uppercut |TM29 Wrap |TM30 Metal Claw |TM31 Spacial Rend |TM32 Role Play |TM33 Quick Attack |TM34 Dream Eater |TM35 Bullet Punch |TM36 Sludge Bomb |TM37 SolarBeam |TM38 Cotton Spore |         - |TM40 Hyper Fang |               - |                - |              - |TM44 Fire Spin |               - |TM46 Psycho Shift |                - |             - |               - |TM50 Earthquake |               - |        - |TM53 Assurance |TM54 Teleport |              - |               - |               - |TM58 Rollout |TM59 False Swipe |TM60 Thunder Fang |         - |          - |             - |TM64 Muddy Water |TM65 Charge Beam |TM66 Tailwind |               - |                - |TM69 Dig |             - |TM71 Discharge |TM72 Vine Whip |             - |          - |TM75 Foresight |                - |         - |          - |TM79 AncientPower |TM80 Mach Punch |TM81 Mirror Shot |              - |TM83 Twineedle |TM84 Snore |TM85 Steel Wing |TM86 Drill Peck |               - |TM88 Defense Curl |TM89 Draco Meteor |               - |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
476 PROBOPASS     |TM01 Reflect |TM02 Faint Attack |TM03 Shock Wave |              - |                - |             - |TM07 Lovely Kiss |               - |                - |TM10 Seismic Toss |TM11 Fire Punch |               - |              - |TM14 Amnesia |TM15 Fake Tears |TM16 Slam |TM17 Arm Thrust |TM18 Weather Ball |TM19 Last Resort |              - |          - |TM22 DragonBreath |              - |             - |               - |            - |TM27 Splash |TM28 Sky Uppercut |TM29 Wrap |TM30 Metal Claw |TM31 Spacial Rend |TM32 Role Play |                - |               - |                - |TM36 Sludge Bomb |TM37 SolarBeam |TM38 Cotton Spore |TM39 Curse |TM40 Hyper Fang |               - |TM42 Natural Gift |TM43 Super Fang |TM44 Fire Spin |TM45 Thunderbolt |                - |                - |             - |TM49 Sweet Scent |              - |               - |TM52 Wish |TM53 Assurance |            - |TM55 Switcheroo |               - |TM57 Magma Storm |TM58 Rollout |               - |                - |TM61 Feint |          - |TM63 Mud Sport |               - |               - |TM66 Tailwind |TM67 Mirror Coat |                - |TM69 Dig |TM70 Whirlwind |             - |TM72 Vine Whip |             - |          - |TM75 Foresight |TM76 Magical Leaf |         - |          - |TM79 AncientPower |TM80 Mach Punch |TM81 Mirror Shot |TM82 Supersonic |             - |         - |TM85 Steel Wing |TM86 Drill Peck |TM87 Miracle Eye |TM88 Defense Curl |TM89 Draco Meteor |TM90 Lunar Dance |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
477 DUSKNOIR      |TM01 Reflect |                - |              - |TM04 Rock Throw |                - |TM06 Air Slash |               - |TM08 Fury Attack |TM09 Shadow Punch |                - |TM11 Fire Punch |TM12 Poison Tail |              - |TM14 Amnesia |TM15 Fake Tears |        - |              - |                - |               - |              - |TM21 Tickle |                - |              - |TM24 Knock Off |TM25 Water Sport |            - |          - |TM28 Sky Uppercut |        - |              - |TM31 Spacial Rend |TM32 Role Play |                - |TM34 Dream Eater |TM35 Bullet Punch |               - |TM37 SolarBeam |                - |         - |TM40 Hyper Fang |TM41 Comet Punch |TM42 Natural Gift |TM43 Super Fang |TM44 Fire Spin |TM45 Thunderbolt |                - |                - |             - |               - |TM50 Earthquake |               - |TM52 Wish |             - |TM54 Teleport |              - |               - |TM57 Magma Storm |TM58 Rollout |TM59 False Swipe |                - |         - |TM62 Bubble |TM63 Mud Sport |TM64 Muddy Water |TM65 Charge Beam |TM66 Tailwind |               - |                - |TM69 Dig |TM70 Whirlwind |TM71 Discharge |TM72 Vine Whip |             - |          - |             - |                - |TM77 Charm |TM78 Absorb |TM79 AncientPower |TM80 Mach Punch |               - |TM82 Supersonic |TM83 Twineedle |TM84 Snore |TM85 Steel Wing |TM86 Drill Peck |TM87 Miracle Eye |TM88 Defense Curl |TM89 Draco Meteor |               - |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
478 FROSLASS      |TM01 Reflect |TM02 Faint Attack |              - |              - |TM05 Icicle Spear |TM06 Air Slash |               - |TM08 Fury Attack |                - |TM10 Seismic Toss |              - |               - |TM13 Hyper Beam |           - |TM15 Fake Tears |        - |TM17 Arm Thrust |                - |               - |              - |TM21 Tickle |                - |              - |TM24 Knock Off |               - |            - |          - |TM28 Sky Uppercut |TM29 Wrap |              - |                - |             - |                - |TM34 Dream Eater |TM35 Bullet Punch |TM36 Sludge Bomb |TM37 SolarBeam |                - |         - |              - |               - |                - |TM43 Super Fang |             - |               - |                - |                - |TM48 Synthesis |               - |TM50 Earthquake |TM51 Perish Song |        - |TM53 Assurance |TM54 Teleport |              - |               - |TM57 Magma Storm |           - |               - |                - |         - |TM62 Bubble |             - |TM64 Muddy Water |TM65 Charge Beam |            - |               - |                - |TM69 Dig |TM70 Whirlwind |             - |             - |             - |          - |             - |                - |         - |          - |TM79 AncientPower |              - |TM81 Mirror Shot |TM82 Supersonic |             - |TM84 Snore |              - |              - |TM87 Miracle Eye |                - |                - |TM90 Lunar Dance |TM91 Bug Buzz |TM92 Tri Attack |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
