Randomizer Version: 4.5.1-HAL
Random Seed: 267551420360210
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> CRESSELIA      
377 REGIROCK      |Confuse Ray |          - |Camouflage |Rest |   - |Healing Wish |           - |Psybeam |Smog |       - |Sandstorm |           - |Thunder Fang |         - |Rock Blast |Sleep Talk |       - |Hyper Fang |      - |   - |          - |         - |Detect |Psycho Shift |         - |      - |Encore |Miracle Eye |Snatch |          - |         - |          - |           - |Brave Bird |          - |          - |    - |Vacuum Wave |         - |Twister |      - |        - |Fissure |Will-O-Wisp |        - |Refresh |    - |         - |          - |          - |Pay Day |SmellingSalt |
378 REGICE        |          - |Charge Beam |Camouflage |   - |Leer |Healing Wish |Thunder Wave |      - |Smog |Mud-Slap |        - |Spacial Rend |           - |         - |Rock Blast |Sleep Talk |Endeavor |         - |      - |   - |Magnet Rise |         - |Detect |           - |Fire Blast |Torment |     - |Miracle Eye |Snatch |          - |Power Whip |          - |Shadow Sneak |Brave Bird |          - |          - |Toxic |          - |Poison Gas |Twister |Amnesia |Ice Shard |      - |Will-O-Wisp |        - |Refresh |    - |Rock Throw |          - |Horn Attack |Pay Day |SmellingSalt |
379 REGISTEEL     |Confuse Ray |Charge Beam |         - |   - |   - |Healing Wish |           - |      - |Smog |       - |Sandstorm |Spacial Rend |           - |Drill Peck |         - |         - |       - |         - |      - |   - |          - |         - |     - |           - |         - |Torment |     - |Miracle Eye |Snatch |          - |         - |          - |Shadow Sneak |         - |          - |          - |    - |          - |Poison Gas |      - |Amnesia |Ice Shard |Fissure |Will-O-Wisp |Aqua Tail |      - |Flash |         - |False Swipe |          - |Pay Day |SmellingSalt |
380 LATIAS        |Confuse Ray |          - |         - |Rest |Leer |           - |Thunder Wave |      - |   - |Mud-Slap |Sandstorm |Spacial Rend |           - |         - |Rock Blast |Sleep Talk |Endeavor |         - |      - |Roar |          - |Head Smash |Detect |           - |Fire Blast |Torment |Encore |Miracle Eye |     - |Powder Snow |         - |          - |Shadow Sneak |         - |Lovely Kiss |Dizzy Punch |    - |Vacuum Wave |Poison Gas |      - |      - |Ice Shard |      - |          - |Aqua Tail |Refresh |Flash |Rock Throw |          - |Horn Attack |Pay Day |           - |
381 LATIOS        |Confuse Ray |Charge Beam |Camouflage |Rest |Leer |Healing Wish |           - |      - |Smog |       - |        - |           - |           - |         - |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |Ingrain |   - |          - |         - |Detect |Psycho Shift |Fire Blast |      - |     - |          - |     - |          - |         - |Last Resort |           - |Brave Bird |          - |Dizzy Punch |    - |          - |         - |      - |      - |Ice Shard |Fissure |          - |        - |Refresh |Flash |Rock Throw |False Swipe |Horn Attack |Pay Day |SmellingSalt |
382 KYOGRE        |          - |Charge Beam |         - |Rest |Leer |           - |           - |Psybeam |   - |       - |Sandstorm |           - |Thunder Fang |         - |Rock Blast |Sleep Talk |       - |Hyper Fang |      - |Roar |Magnet Rise |Head Smash |Detect |           - |         - |      - |     - |Miracle Eye |Snatch |          - |Power Whip |Last Resort |           - |Brave Bird |Lovely Kiss |          - |Toxic |Vacuum Wave |Poison Gas |Twister |Amnesia |        - |Fissure |          - |        - |Refresh |Flash |         - |          - |          - |      - |SmellingSalt |
383 GROUDON       |          - |Charge Beam |         - |   - |Leer |Healing Wish |           - |      - |Smog |Mud-Slap |Sandstorm |Spacial Rend |           - |         - |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |      - |Roar |          - |         - |     - |Psycho Shift |         - |Torment |     - |Miracle Eye |     - |Powder Snow |         - |Last Resort |Shadow Sneak |Brave Bird |          - |          - |    - |          - |Poison Gas |Twister |      - |        - |Fissure |Will-O-Wisp |Aqua Tail |Refresh |Flash |Rock Throw |False Swipe |          - |      - |SmellingSalt |
384 RAYQUAZA      |          - |          - |         - |   - |   - |           - |Thunder Wave |      - |   - |Mud-Slap |Sandstorm |Spacial Rend |           - |Drill Peck |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |Ingrain |   - |          - |Head Smash |Detect |           - |         - |Torment |     - |          - |     - |Powder Snow |         - |          - |Shadow Sneak |Brave Bird |          - |          - |Toxic |          - |         - |      - |      - |        - |Fissure |          - |        - |Refresh |    - |         - |False Swipe |          - |      - |SmellingSalt |
385 JIRACHI       |          - |Charge Beam |Camouflage |Rest |   - |           - |Thunder Wave |      - |Smog |       - |        - |           - |Thunder Fang |         - |         - |         - |Endeavor |         - |      - |   - |Magnet Rise |Head Smash |Detect |           - |Fire Blast |      - |     - |          - |     - |          - |Power Whip |Last Resort |Shadow Sneak |Brave Bird |          - |Dizzy Punch |    - |Vacuum Wave |Poison Gas |      - |Amnesia |        - |Fissure |Will-O-Wisp |Aqua Tail |      - |    - |Rock Throw |False Swipe |          - |      - |           - |
386 DEOXYS        |          - |          - |         - |Rest |Leer |Healing Wish |Thunder Wave |Psybeam |Smog |Mud-Slap |Sandstorm |Spacial Rend |Thunder Fang |Drill Peck |         - |Sleep Talk |       - |Hyper Fang |Ingrain |Roar |Magnet Rise |Head Smash |Detect |           - |         - |      - |Encore |          - |     - |Powder Snow |         - |Last Resort |Shadow Sneak |         - |Lovely Kiss |Dizzy Punch |Toxic |          - |Poison Gas |Twister |      - |Ice Shard |Fissure |          - |Aqua Tail |      - |Flash |Rock Throw |False Swipe |          - |      - |SmellingSalt |
387 TURTWIG       |Confuse Ray |          - |Camouflage |   - |Leer |Healing Wish |Thunder Wave |Psybeam |Smog |Mud-Slap |        - |           - |Thunder Fang |Drill Peck |Rock Blast |Sleep Talk |Endeavor |         - |Ingrain |Roar |          - |         - |     - |           - |Fire Blast |      - |     - |          - |Snatch |          - |Power Whip |          - |           - |         - |Lovely Kiss |          - |    - |Vacuum Wave |Poison Gas |Twister |Amnesia |        - |Fissure |Will-O-Wisp |        - |      - |    - |Rock Throw |False Swipe |          - |Pay Day |SmellingSalt |
388 GROTLE        |          - |          - |         - |Rest |   - |           - |           - |Psybeam |   - |       - |        - |           - |Thunder Fang |         - |Rock Blast |         - |Endeavor |Hyper Fang |Ingrain |   - |          - |         - |     - |           - |Fire Blast |Torment |     - |Miracle Eye |Snatch |Powder Snow |Power Whip |          - |Shadow Sneak |         - |Lovely Kiss |          - |Toxic |Vacuum Wave |Poison Gas |      - |Amnesia |Ice Shard |      - |Will-O-Wisp |Aqua Tail |Refresh |    - |Rock Throw |False Swipe |Horn Attack |Pay Day |           - |
389 TORTERRA      |          - |Charge Beam |         - |Rest |   - |           - |           - |      - |Smog |       - |Sandstorm |Spacial Rend |           - |         - |Rock Blast |Sleep Talk |       - |Hyper Fang |      - |Roar |Magnet Rise |         - |     - |Psycho Shift |Fire Blast |      - |Encore |          - |Snatch |          - |Power Whip |Last Resort |Shadow Sneak |         - |Lovely Kiss |Dizzy Punch |    - |          - |Poison Gas |Twister |      - |Ice Shard |Fissure |Will-O-Wisp |Aqua Tail |      - |    - |         - |          - |Horn Attack |Pay Day |           - |
390 CHIMCHAR      |Confuse Ray |Charge Beam |         - |Rest |Leer |           - |           - |Psybeam |   - |Mud-Slap |        - |           - |           - |         - |         - |Sleep Talk |       - |         - |Ingrain |   - |          - |Head Smash |Detect |           - |Fire Blast |      - |Encore |          - |     - |Powder Snow |         - |          - |Shadow Sneak |Brave Bird |Lovely Kiss |          - |Toxic |Vacuum Wave |Poison Gas |Twister |      - |        - |Fissure |          - |        - |Refresh |    - |         - |False Swipe |Horn Attack |Pay Day |SmellingSalt |
391 MONFERNO      |Confuse Ray |          - |Camouflage |Rest |   - |Healing Wish |Thunder Wave |Psybeam |   - |Mud-Slap |        - |           - |Thunder Fang |         - |         - |         - |Endeavor |         - |Ingrain |   - |          - |Head Smash |Detect |Psycho Shift |Fire Blast |      - |     - |          - |Snatch |          - |         - |          - |Shadow Sneak |Brave Bird |Lovely Kiss |          - |Toxic |Vacuum Wave |Poison Gas |Twister |Amnesia |Ice Shard |Fissure |Will-O-Wisp |        - |Refresh |    - |         - |False Swipe |Horn Attack |      - |           - |
392 INFERNAPE     |          - |          - |Camouflage |Rest |   - |           - |           - |      - |Smog |       - |        - |           - |           - |         - |         - |Sleep Talk |       - |Hyper Fang |Ingrain |Roar |Magnet Rise |         - |     - |Psycho Shift |Fire Blast |      - |Encore |          - |Snatch |Powder Snow |Power Whip |          - |           - |         - |Lovely Kiss |          - |    - |Vacuum Wave |         - |      - |Amnesia |Ice Shard |Fissure |          - |        - |Refresh |Flash |Rock Throw |False Swipe |          - |Pay Day |           - |
393 PIPLUP        |          - |Charge Beam |         - |Rest |Leer |           - |Thunder Wave |Psybeam |Smog |Mud-Slap |        - |           - |           - |         - |         - |Sleep Talk |       - |Hyper Fang |Ingrain |   - |Magnet Rise |Head Smash |Detect |Psycho Shift |         - |Torment |     - |          - |     - |          - |         - |          - |Shadow Sneak |         - |Lovely Kiss |Dizzy Punch |Toxic |Vacuum Wave |         - |      - |      - |Ice Shard |      - |          - |Aqua Tail |Refresh |    - |         - |          - |Horn Attack |Pay Day |           - |
394 PRINPLUP      |          - |Charge Beam |         - |Rest |Leer |           - |Thunder Wave |Psybeam |Smog |       - |Sandstorm |           - |Thunder Fang |         - |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |      - |Roar |          - |         - |Detect |Psycho Shift |         - |      - |Encore |          - |Snatch |          - |Power Whip |          - |           - |Brave Bird |          - |          - |    - |Vacuum Wave |         - |Twister |Amnesia |        - |      - |Will-O-Wisp |        - |Refresh |Flash |Rock Throw |          - |Horn Attack |Pay Day |           - |
395 EMPOLEON      |Confuse Ray |Charge Beam |Camouflage |   - |Leer |           - |           - |      - |Smog |Mud-Slap |Sandstorm |Spacial Rend |           - |         - |         - |         - |Endeavor |Hyper Fang |      - |Roar |Magnet Rise |         - |Detect |           - |Fire Blast |Torment |     - |          - |Snatch |Powder Snow |         - |          - |Shadow Sneak |Brave Bird |          - |          - |    - |Vacuum Wave |Poison Gas |Twister |      - |        - |Fissure |Will-O-Wisp |        - |Refresh |Flash |Rock Throw |          - |Horn Attack |Pay Day |           - |
396 STARLY        |Confuse Ray |Charge Beam |         - |   - |   - |           - |Thunder Wave |Psybeam |Smog |Mud-Slap |Sandstorm |Spacial Rend |           - |Drill Peck |         - |         - |       - |         - |Ingrain |   - |          - |         - |Detect |Psycho Shift |Fire Blast |Torment |Encore |          - |     - |Powder Snow |Power Whip |          - |Shadow Sneak |Brave Bird |Lovely Kiss |          - |Toxic |          - |         - |Twister |Amnesia |Ice Shard |      - |          - |Aqua Tail |      - |    - |Rock Throw |False Swipe |Horn Attack |      - |SmellingSalt |
397 STARAVIA      |Confuse Ray |          - |         - |   - |   - |Healing Wish |Thunder Wave |Psybeam |   - |Mud-Slap |Sandstorm |Spacial Rend |Thunder Fang |         - |Rock Blast |         - |       - |Hyper Fang |      - |   - |Magnet Rise |Head Smash |Detect |Psycho Shift |         - |Torment |Encore |Miracle Eye |     - |          - |         - |          - |           - |         - |          - |          - |Toxic |Vacuum Wave |Poison Gas |      - |      - |        - |      - |          - |        - |Refresh |    - |         - |          - |          - |Pay Day |           - |
398 STARAPTOR     |Confuse Ray |Charge Beam |         - |   - |   - |Healing Wish |           - |Psybeam |   - |Mud-Slap |        - |           - |           - |         - |         - |Sleep Talk |Endeavor |Hyper Fang |      - |   - |          - |Head Smash |Detect |           - |         - |      - |     - |          - |     - |          - |Power Whip |Last Resort |Shadow Sneak |         - |Lovely Kiss |          - |    - |          - |         - |Twister |      - |        - |      - |Will-O-Wisp |        - |      - |Flash |         - |          - |          - |Pay Day |SmellingSalt |
399 BIDOOF        |Confuse Ray |Charge Beam |         - |   - |   - |Healing Wish |Thunder Wave |      - |   - |       - |        - |Spacial Rend |           - |         - |Rock Blast |         - |       - |Hyper Fang |Ingrain |   - |          - |         - |Detect |           - |         - |      - |     - |          - |Snatch |          - |         - |Last Resort |Shadow Sneak |Brave Bird |Lovely Kiss |Dizzy Punch |Toxic |Vacuum Wave |         - |      - |      - |Ice Shard |      - |Will-O-Wisp |        - |      - |Flash |         - |False Swipe |          - |      - |SmellingSalt |
400 BIBAREL       |          - |          - |         - |Rest |Leer |Healing Wish |Thunder Wave |Psybeam |   - |Mud-Slap |Sandstorm |           - |           - |Drill Peck |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |      - |Roar |Magnet Rise |         - |     - |Psycho Shift |Fire Blast |Torment |Encore |Miracle Eye |Snatch |          - |Power Whip |          - |Shadow Sneak |Brave Bird |Lovely Kiss |Dizzy Punch |Toxic |          - |         - |Twister |      - |Ice Shard |Fissure |Will-O-Wisp |        - |Refresh |Flash |Rock Throw |False Swipe |Horn Attack |Pay Day |           - |
401 KRICKETOT     |Confuse Ray |          - |Camouflage |Rest |Leer |Healing Wish |           - |Psybeam |Smog |       - |        - |Spacial Rend |Thunder Fang |         - |Rock Blast |         - |       - |Hyper Fang |Ingrain |Roar |Magnet Rise |         - |Detect |Psycho Shift |Fire Blast |Torment |     - |Miracle Eye |Snatch |          - |Power Whip |          - |           - |         - |          - |          - |Toxic |          - |         - |      - |Amnesia |Ice Shard |      - |Will-O-Wisp |Aqua Tail |Refresh |    - |Rock Throw |          - |Horn Attack |      - |SmellingSalt |
402 KRICKETUNE    |Confuse Ray |          - |         - |   - |Leer |           - |Thunder Wave |      - |   - |Mud-Slap |Sandstorm |Spacial Rend |Thunder Fang |         - |Rock Blast |         - |       - |         - |Ingrain |   - |Magnet Rise |         - |     - |Psycho Shift |Fire Blast |      - |     - |          - |Snatch |          - |Power Whip |Last Resort |           - |Brave Bird |          - |Dizzy Punch |Toxic |          - |Poison Gas |      - |      - |        - |      - |Will-O-Wisp |        - |Refresh |Flash |         - |          - |          - |Pay Day |SmellingSalt |
403 SHINX         |Confuse Ray |Charge Beam |Camouflage |Rest |Leer |Healing Wish |           - |Psybeam |Smog |       - |Sandstorm |Spacial Rend |Thunder Fang |Drill Peck |Rock Blast |         - |       - |         - |      - |Roar |Magnet Rise |Head Smash |Detect |           - |Fire Blast |Torment |     - |Miracle Eye |Snatch |          - |         - |          - |Shadow Sneak |         - |          - |Dizzy Punch |    - |          - |Poison Gas |      - |      - |        - |      - |          - |        - |Refresh |    - |         - |False Swipe |          - |Pay Day |           - |
404 LUXIO         |          - |          - |Camouflage |   - |Leer |Healing Wish |           - |Psybeam |   - |       - |        - |           - |           - |Drill Peck |Rock Blast |Sleep Talk |       - |         - |      - |   - |Magnet Rise |         - |Detect |           - |         - |      - |Encore |          - |     - |Powder Snow |         - |          - |Shadow Sneak |         - |Lovely Kiss |          - |Toxic |          - |Poison Gas |      - |      - |Ice Shard |Fissure |Will-O-Wisp |Aqua Tail |      - |    - |Rock Throw |False Swipe |          - |Pay Day |           - |
405 LUXRAY        |Confuse Ray |Charge Beam |         - |Rest |   - |           - |           - |      - |Smog |       - |        - |Spacial Rend |Thunder Fang |         - |         - |         - |Endeavor |         - |      - |Roar |          - |Head Smash |     - |           - |         - |      - |Encore |          - |Snatch |Powder Snow |Power Whip |          - |           - |Brave Bird |Lovely Kiss |          - |Toxic |Vacuum Wave |         - |      - |Amnesia |Ice Shard |Fissure |          - |Aqua Tail |      - |    - |         - |          - |Horn Attack |Pay Day |SmellingSalt |
406 BUDEW         |Confuse Ray |          - |Camouflage |Rest |   - |Healing Wish |Thunder Wave |      - |   - |Mud-Slap |        - |Spacial Rend |Thunder Fang |Drill Peck |Rock Blast |Sleep Talk |Endeavor |         - |      - |Roar |Magnet Rise |Head Smash |Detect |           - |         - |      - |Encore |          - |     - |Powder Snow |         - |          - |           - |         - |          - |          - |Toxic |          - |Poison Gas |Twister |      - |        - |      - |Will-O-Wisp |Aqua Tail |Refresh |    - |Rock Throw |          - |Horn Attack |Pay Day |           - |
407 ROSERADE      |          - |Charge Beam |Camouflage |   - |   - |Healing Wish |Thunder Wave |Psybeam |Smog |       - |Sandstorm |           - |Thunder Fang |         - |         - |         - |       - |Hyper Fang |      - |Roar |Magnet Rise |Head Smash |Detect |Psycho Shift |         - |Torment |     - |Miracle Eye |     - |Powder Snow |Power Whip |Last Resort |Shadow Sneak |         - |Lovely Kiss |          - |    - |          - |         - |      - |Amnesia |Ice Shard |      - |Will-O-Wisp |Aqua Tail |      - |    - |Rock Throw |False Swipe |          - |      - |           - |
408 CRANIDOS      |Confuse Ray |          - |         - |   - |Leer |Healing Wish |           - |Psybeam |   - |       - |Sandstorm |           - |Thunder Fang |Drill Peck |Rock Blast |         - |       - |Hyper Fang |      - |   - |          - |         - |     - |Psycho Shift |Fire Blast |      - |     - |          - |Snatch |          - |         - |          - |Shadow Sneak |Brave Bird |Lovely Kiss |          - |Toxic |          - |         - |      - |Amnesia |Ice Shard |      - |Will-O-Wisp |Aqua Tail |Refresh |    - |Rock Throw |False Swipe |          - |      - |SmellingSalt |
409 RAMPARDOS     |Confuse Ray |Charge Beam |         - |   - |Leer |           - |Thunder Wave |      - |   - |       - |Sandstorm |Spacial Rend |Thunder Fang |         - |         - |Sleep Talk |Endeavor |         - |      - |   - |          - |         - |Detect |           - |Fire Blast |Torment |     - |          - |     - |          - |         - |Last Resort |           - |         - |Lovely Kiss |Dizzy Punch |Toxic |Vacuum Wave |Poison Gas |      - |Amnesia |        - |      - |          - |        - |      - |Flash |         - |False Swipe |Horn Attack |Pay Day |           - |
410 SHIELDON      |Confuse Ray |          - |Camouflage |Rest |   - |Healing Wish |Thunder Wave |Psybeam |Smog |       - |Sandstorm |Spacial Rend |           - |Drill Peck |Rock Blast |         - |       - |Hyper Fang |      - |Roar |          - |Head Smash |Detect |           - |Fire Blast |Torment |     - |          - |Snatch |Powder Snow |         - |Last Resort |Shadow Sneak |Brave Bird |          - |Dizzy Punch |Toxic |Vacuum Wave |Poison Gas |Twister |Amnesia |        - |      - |Will-O-Wisp |        - |      - |Flash |         - |False Swipe |          - |      - |           - |
411 BASTIODON     |Confuse Ray |          - |Camouflage |Rest |   - |           - |Thunder Wave |      - |Smog |       - |Sandstorm |           - |Thunder Fang |Drill Peck |         - |Sleep Talk |Endeavor |Hyper Fang |      - |   - |Magnet Rise |Head Smash |Detect |           - |Fire Blast |      - |Encore |Miracle Eye |     - |          - |Power Whip |          - |           - |         - |          - |Dizzy Punch |    - |          - |Poison Gas |      - |      - |Ice Shard |      - |Will-O-Wisp |        - |      - |Flash |         - |False Swipe |          - |Pay Day |SmellingSalt |
412 BURMY         |Confuse Ray |          - |         - |Rest |   - |Healing Wish |Thunder Wave |      - |Smog |       - |        - |           - |           - |Drill Peck |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |Ingrain |Roar |Magnet Rise |         - |Detect |Psycho Shift |         - |      - |     - |          - |Snatch |          - |Power Whip |          - |           - |Brave Bird |Lovely Kiss |Dizzy Punch |    - |Vacuum Wave |Poison Gas |Twister |      - |        - |      - |Will-O-Wisp |Aqua Tail |Refresh |    - |         - |False Swipe |          - |Pay Day |SmellingSalt |
413 WORMADAM      |          - |          - |         - |   - |   - |           - |Thunder Wave |      - |Smog |       - |Sandstorm |           - |           - |Drill Peck |         - |         - |Endeavor |         - |      - |Roar |Magnet Rise |Head Smash |     - |Psycho Shift |         - |      - |Encore |          - |Snatch |Powder Snow |Power Whip |          - |Shadow Sneak |         - |Lovely Kiss |          - |Toxic |          - |Poison Gas |      - |Amnesia |        - |Fissure |Will-O-Wisp |        - |Refresh |    - |         - |          - |          - |      - |SmellingSalt |
414 MOTHIM        |Confuse Ray |          - |Camouflage |Rest |Leer |           - |           - |Psybeam |Smog |       - |Sandstorm |Spacial Rend |Thunder Fang |Drill Peck |Rock Blast |         - |Endeavor |         - |Ingrain |Roar |Magnet Rise |Head Smash |Detect |           - |         - |      - |     - |          - |Snatch |Powder Snow |Power Whip |Last Resort |Shadow Sneak |         - |Lovely Kiss |Dizzy Punch |    - |Vacuum Wave |Poison Gas |Twister |      - |        - |Fissure |          - |Aqua Tail |Refresh |    - |         - |False Swipe |Horn Attack |Pay Day |           - |
415 COMBEE        |          - |Charge Beam |Camouflage |   - |   - |           - |           - |Psybeam |Smog |Mud-Slap |        - |           - |Thunder Fang |Drill Peck |Rock Blast |         - |       - |Hyper Fang |      - |   - |          - |         - |     - |Psycho Shift |Fire Blast |      - |Encore |          - |Snatch |          - |Power Whip |Last Resort |Shadow Sneak |Brave Bird |Lovely Kiss |Dizzy Punch |Toxic |          - |Poison Gas |Twister |      - |        - |      - |          - |Aqua Tail |      - |    - |         - |          - |          - |Pay Day |SmellingSalt |
416 VESPIQUEN     |Confuse Ray |Charge Beam |         - |Rest |Leer |Healing Wish |           - |      - |   - |Mud-Slap |        - |Spacial Rend |Thunder Fang |Drill Peck |         - |Sleep Talk |Endeavor |         - |      - |Roar |          - |Head Smash |Detect |           - |Fire Blast |      - |     - |          - |Snatch |Powder Snow |         - |          - |           - |Brave Bird |Lovely Kiss |          - |Toxic |Vacuum Wave |         - |      - |      - |Ice Shard |Fissure |          - |Aqua Tail |Refresh |Flash |Rock Throw |False Swipe |          - |Pay Day |SmellingSalt |
417 PACHIRISU     |Confuse Ray |          - |Camouflage |Rest |Leer |           - |           - |      - |   - |       - |Sandstorm |Spacial Rend |Thunder Fang |         - |         - |Sleep Talk |Endeavor |Hyper Fang |Ingrain |Roar |Magnet Rise |         - |     - |Psycho Shift |Fire Blast |Torment |Encore |Miracle Eye |     - |Powder Snow |         - |          - |Shadow Sneak |Brave Bird |          - |Dizzy Punch |    - |Vacuum Wave |         - |Twister |Amnesia |        - |      - |          - |        - |      - |Flash |         - |          - |Horn Attack |Pay Day |           - |
418 BUIZEL        |          - |          - |         - |   - |Leer |           - |           - |Psybeam |Smog |Mud-Slap |Sandstorm |           - |           - |         - |Rock Blast |Sleep Talk |       - |Hyper Fang |Ingrain |Roar |Magnet Rise |         - |Detect |           - |         - |Torment |Encore |          - |     - |Powder Snow |         - |Last Resort |           - |Brave Bird |          - |Dizzy Punch |    - |Vacuum Wave |Poison Gas |      - |      - |        - |      - |          - |Aqua Tail |      - |    - |         - |False Swipe |Horn Attack |Pay Day |           - |
419 FLOATZEL      |Confuse Ray |          - |         - |Rest |Leer |Healing Wish |           - |      - |   - |       - |Sandstorm |           - |Thunder Fang |         - |         - |         - |       - |         - |      - |   - |Magnet Rise |         - |     - |Psycho Shift |Fire Blast |      - |     - |          - |Snatch |          - |         - |Last Resort |           - |Brave Bird |          - |Dizzy Punch |    - |Vacuum Wave |Poison Gas |Twister |Amnesia |        - |      - |          - |        - |Refresh |Flash |         - |False Swipe |          - |Pay Day |SmellingSalt |
420 CHERUBI       |Confuse Ray |          - |         - |Rest |   - |Healing Wish |           - |Psybeam |Smog |       - |Sandstorm |           - |Thunder Fang |         - |         - |Sleep Talk |       - |Hyper Fang |Ingrain |   - |Magnet Rise |Head Smash |Detect |           - |         - |Torment |     - |          - |Snatch |          - |Power Whip |          - |           - |Brave Bird |Lovely Kiss |          - |Toxic |          - |         - |      - |      - |Ice Shard |Fissure |Will-O-Wisp |        - |Refresh |Flash |         - |          - |          - |      - |           - |
421 CHERRIM       |Confuse Ray |Charge Beam |Camouflage |   - |   - |Healing Wish |           - |Psybeam |   - |       - |Sandstorm |           - |Thunder Fang |         - |Rock Blast |         - |Endeavor |Hyper Fang |      - |Roar |          - |Head Smash |     - |Psycho Shift |         - |Torment |     - |          - |     - |          - |         - |          - |           - |         - |          - |          - |    - |          - |         - |Twister |      - |        - |Fissure |Will-O-Wisp |        - |Refresh |Flash |         - |False Swipe |          - |      - |           - |
422 SHELLOS       |          - |          - |         - |   - |Leer |           - |           - |      - |Smog |Mud-Slap |        - |Spacial Rend |           - |Drill Peck |         - |Sleep Talk |Endeavor |         - |Ingrain |Roar |Magnet Rise |         - |Detect |           - |         - |Torment |Encore |Miracle Eye |     - |          - |         - |Last Resort |           - |Brave Bird |          - |Dizzy Punch |Toxic |          - |         - |      - |Amnesia |        - |Fissure |Will-O-Wisp |        - |      - |Flash |Rock Throw |False Swipe |Horn Attack |Pay Day |           - |
423 GASTRODON     |          - |Charge Beam |         - |Rest |   - |Healing Wish |Thunder Wave |      - |   - |Mud-Slap |Sandstorm |Spacial Rend |           - |         - |Rock Blast |Sleep Talk |       - |         - |Ingrain |Roar |          - |         - |Detect |           - |Fire Blast |      - |     - |Miracle Eye |Snatch |          - |Power Whip |Last Resort |Shadow Sneak |         - |Lovely Kiss |          - |Toxic |          - |         - |      - |      - |Ice Shard |      - |Will-O-Wisp |        - |Refresh |Flash |Rock Throw |False Swipe |Horn Attack |Pay Day |           - |
424 AMBIPOM       |          - |          - |         - |   - |Leer |           - |           - |Psybeam |Smog |Mud-Slap |        - |           - |           - |         - |Rock Blast |         - |       - |Hyper Fang |      - |   - |          - |         - |Detect |           - |         - |Torment |Encore |          - |     - |Powder Snow |         - |Last Resort |Shadow Sneak |Brave Bird |          - |          - |    - |          - |Poison Gas |Twister |      - |Ice Shard |      - |Will-O-Wisp |Aqua Tail |Refresh |    - |         - |False Swipe |          - |Pay Day |           - |
425 DRIFLOON      |Confuse Ray |Charge Beam |         - |   - |   - |Healing Wish |           - |      - |Smog |       - |Sandstorm |Spacial Rend |           - |Drill Peck |Rock Blast |Sleep Talk |Endeavor |Hyper Fang |Ingrain |   - |          - |         - |     - |Psycho Shift |         - |      - |Encore |Miracle Eye |     - |Powder Snow |Power Whip |Last Resort |           - |         - |          - |          - |    - |Vacuum Wave |         - |Twister |      - |        - |Fissure |Will-O-Wisp |        - |      - |Flash |Rock Throw |False Swipe |Horn Attack |      - |SmellingSalt |
426 DRIFBLIM      |Confuse Ray |Charge Beam |Camouflage |Rest |Leer |           - |           - |      - |   - |Mud-Slap |        - |Spacial Rend |           - |Drill Peck |         - |Sleep Talk |       - |         - |      - |Roar |Magnet Rise |Head Smash |Detect |           - |         - |      - |     - |Miracle Eye |Snatch |          - |         - |          - |Shadow Sneak |Brave Bird |Lovely Kiss |          - |    - |          - |Poison Gas |Twister |Amnesia |        - |      - |          - |        - |Refresh |    - |         - |False Swipe |          - |Pay Day |SmellingSalt |
427 BUNEARY       |          - |Charge Beam |         - |Rest |   - |           - |           - |Psybeam |   - |Mud-Slap |Sandstorm |Spacial Rend |           - |Drill Peck |         - |Sleep Talk |       - |Hyper Fang |      - |   - |Magnet Rise |         - |     - |           - |         - |      - |     - |Miracle Eye |Snatch |          - |         - |          - |           - |         - |          - |Dizzy Punch |    - |Vacuum Wave |         - |      - |      - |        - |      - |Will-O-Wisp |Aqua Tail |      - |    - |Rock Throw |          - |          - |Pay Day |           - |
428 LOPUNNY       |Confuse Ray |          - |         - |   - |   - |Healing Wish |           - |      - |Smog |       - |        - |Spacial Rend |Thunder Fang |Drill Peck |Rock Blast |         - |Endeavor |         - |Ingrain |   - |          - |Head Smash |     - |Psycho Shift |         - |Torment |     - |Miracle Eye |     - |          - |Power Whip |Last Resort |Shadow Sneak |         - |          - |Dizzy Punch |    - |Vacuum Wave |         - |      - |      - |        - |Fissure |          - |        - |Refresh |    - |Rock Throw |False Swipe |          - |Pay Day |SmellingSalt |
429 MISMAGIUS     |Confuse Ray |          - |         - |   - |Leer |Healing Wish |           - |Psybeam |Smog |       - |Sandstorm |Spacial Rend |           - |Drill Peck |Rock Blast |         - |       - |         - |      - |Roar |Magnet Rise |         - |Detect |Psycho Shift |         - |Torment |Encore |Miracle Eye |Snatch |          - |         - |Last Resort |           - |         - |Lovely Kiss |Dizzy Punch |Toxic |          - |Poison Gas |Twister |      - |        - |      - |Will-O-Wisp |        - |Refresh |    - |         - |          - |Horn Attack |Pay Day |           - |
