Randomizer Version: 4.5.1-HAL
Random Seed: 85825638270474
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> HITMONCHAN     
VESPIQUEN Lvs 15-30      HP 151 ATK 60  DEF 40  SPATK 59  SPDEF 148 SPEED 15 

Set #505 - Safari Zone Old Rod (rate=100)
QUILAVA Lvs 15-30        HP 35  ATK 90  DEF 109 SPATK 41  SPDEF 61  SPEED 24 
ARTICUNO Lvs 15-30       HP 20  ATK 117 DEF 98  SPATK 16  SPDEF 130 SPEED 90 
PARASECT Lvs 15-30       HP 125 ATK 151 DEF 83  SPATK 55  SPDEF 137 SPEED 101
DUSCLOPS Lvs 15-30       HP 51  ATK 45  DEF 50  SPATK 50  SPDEF 54  SPEED 40 
SILCOON Lvs 15-30        HP 57  ATK 10  DEF 36  SPATK 10  SPDEF 58  SPEED 52 

Set #506 - Safari Zone Good Rod (rate=100)
DARKRAI Lvs 15-30        HP 20  ATK 147 DEF 83  SPATK 29  SPDEF 20  SPEED 255
RHYDON Lvs 15-30         HP 130 ATK 44  DEF 51  SPATK 57  SPDEF 19  SPEED 53 
VILEPLUME Lvs 15-30      HP 133 ATK 96  DEF 110 SPATK 93  SPDEF 115 SPEED 73 
POLIWHIRL Lvs 15-30      HP 84  ATK 82  DEF 58  SPATK 86  SPDEF 30  SPEED 35 
REGIROCK Lvs 15-30       HP 97  ATK 31  DEF 208 SPATK 80  SPDEF 34  SPEED 106

Set #507 - Safari Zone Super Rod (rate=100)
GROTLE Lvs 15-30         HP 44  ATK 63  DEF 23  SPATK 63  SPDEF 52  SPEED 10 
SPIRITOMB Lvs 15-30      HP 21  ATK 73  DEF 107 SPATK 136 SPDEF 144 SPEED 46 
SHEDINJA Lvs 15-30       HP 1   ATK 25  DEF 51  SPATK 80  SPDEF 113 SPEED 111
DRIFLOON Lvs 15-30       HP 74  ATK 19  DEF 92  SPATK 80  SPDEF 19  SPEED 99 
HARIYAMA Lvs 15-30       HP 54  ATK 165 DEF 38  SPATK 62  SPDEF 23  SPEED 135

Set #508 - Safari Zone Swarms (rate=1)
UXIE Lv1                 HP 91  ATK 104 DEF 104 SPATK 85  SPDEF 105 SPEED 56 
MAGMAR Lv1               HP 20  ATK 75  DEF 85  SPATK 52  SPDEF 71  SPEED 37 

Set #509 - Safari Zone Night Fishing Replacement (rate=1)
SKITTY Lv1               HP 35  ATK 42  DEF 45  SPATK 31  SPDEF 32  SPEED 36 

Set #510 - Safari Zone Fishing Swarm (rate=1)
ONIX Lv1                 HP 20  ATK 71  DEF 49  SPATK 16  SPDEF 14  SPEED 88 

Set #511 - Route 12 Surfing (rate=15)
SHELLOS Lv38             HP 38  ATK 77  DEF 55  SPATK 33  SPDEF 18  SPEED 18 
SHAYMIN Lv38             HP 52  ATK 105 DEF 76  SPATK 68  SPDEF 122 SPEED 103
SHUCKLE Lv38             HP 135 ATK 47  DEF 70  SPATK 53  SPDEF 135 SPEED 82 
SWALOT Lv38              HP 46  ATK 83  DEF 16  SPATK 62  SPDEF 148 SPEED 131
LOPUNNY Lv38             HP 121 ATK 64  DEF 11  SPATK 120 SPDEF 100 SPEED 62 

Set #512 - Route 12 Old Rod (rate=25)
BLISSEY Lv15             HP 127 ATK 13  DEF 38  SPATK 58  SPDEF 87  SPEED 83 
MEDICHAM Lv15            HP 99  ATK 126 DEF 90  SPATK 58  SPDEF 49  SPEED 104
CLAYDOL Lv15             HP 84  ATK 81  DEF 73  SPATK 117 SPDEF 121 SPEED 118
MAGNEZONE Lv15           HP 89  ATK 77  DEF 56  SPATK 93  SPDEF 75  SPEED 63 
SLOWPOKE Lv15            HP 63  ATK 77  DEF 67  SPATK 48  SPDEF 37  SPEED 93 

Set #513 - Route 12 Good Rod (rate=50)
SKUNTANK Lv30            HP 57  ATK 109 DEF 71  SPATK 58  SPDEF 98  SPEED 158
UXIE Lv30                HP 91  ATK 104 DEF 104 SPATK 85  SPDEF 105 SPEED 56 
TRAPINCH Lv30            HP 30  ATK 52  DEF 59  SPATK 10  SPDEF 30  SPEED 51 
MINUN Lv30               HP 95  ATK 21  DEF 91  SPATK 100 SPDEF 93  SPEED 92 
PINSIR Lv30              HP 20  ATK 112 DEF 85  SPATK 91  SPDEF 129 SPEED 89 

Set #514 - Route 12 Super Rod (rate=75)
SLUGMA Lv60              HP 92  ATK 12  DEF 84  SPATK 36  SPDEF 64  SPEED 29 
SMOOCHUM Lv60            HP 53  ATK 32  DEF 18  SPATK 50  SPDEF 59  SPEED 58 
GOLDEEN Lv60             HP 20  ATK 139 DEF 11  SPATK 90  SPDEF 55  SPEED 58 
NUZLEAF Lv60             HP 81  ATK 99  DEF 87  SPATK 20  SPDEF 65  SPEED 56 
CHIKORITA Lv60           HP 37  ATK 92  DEF 93  SPATK 46  SPDEF 15  SPEED 67 

Set #515 - Route 12 Swarms (rate=1)
ABOMASNOW Lv1            HP 50  ATK 85  DEF 212 SPATK 24  SPDEF 255 SPEED 31 

Set #516 - Route 12 Night Fishing Replacement (rate=1)
BELLSPROUT Lv1           HP 117 ATK 19  DEF 42  SPATK 128 SPDEF 34  SPEED 78 

Set #517 - Route 12 Fishing Swarm (rate=1)
MACHOP Lv1               HP 55  ATK 62  DEF 78  SPATK 30  SPDEF 99  SPEED 52 

Set #518 - Route 19 Surfing (rate=10)
SWELLOW Lv53             HP 86  ATK 15  DEF 170 SPATK 52  SPDEF 149 SPEED 61 
SPHEAL Lv45              HP 38  ATK 45  DEF 62  SPATK 116 SPDEF 79  SPEED 108
GRAVELER Lv53            HP 20  ATK 38  DEF 39  SPATK 50  SPDEF 10  SPEED 43 
NIDOQUEEN Lv53           HP 124 ATK 49  DEF 138 SPATK 52  SPDEF 106 SPEED 91 
KYOGRE Lv53              HP 49  ATK 105 DEF 100 SPATK 114 SPDEF 74  SPEED 18 

Set #519 - Route 19 Rock Smash (rate=30)
SWABLU Lvs 42-47         HP 24  ATK 19  DEF 40  SPATK 15  SPDEF 55  SPEED 56 
BEAUTIFLY Lvs 36-41      HP 21  ATK 122 DEF 52  SPATK 131 SPDEF 118 SPEED 119

Set #520 - Route 19 Old Rod (rate=25)
GOLEM Lv15               HP 176 ATK 93  DEF 83  SPATK 235 SPDEF 29  SPEED 56 
GOLDEEN Lv15             HP 20  ATK 139 DEF 11  SPATK 90  SPDEF 55  SPEED 58 
WEEZING Lv15             HP 92  ATK 143 DEF 112 SPATK 151 SPDEF 15  SPEED 68 
SENTRET Lv15             HP 33  ATK 30  DEF 13  SPATK 10  SPDEF 62  SPEED 101
DELIBIRD Lv15            HP 144 ATK 22  DEF 101 SPATK 211 SPDEF 16  SPEED 100

Set #521 - Route 19 Good Rod (rate=50)
BLAZIKEN Lv30            HP 134 ATK 103 DEF 116 SPATK 92  SPDEF 147 SPEED 10 
POOCHYENA Lv30           HP 60  ATK 69  DEF 22  SPATK 18  SPDEF 10  SPEED 71 
SKIPLOOM Lv30            HP 23  ATK 42  DEF 82  SPATK 10  SPDEF 82  SPEED 10 
CROBAT Lv30              HP 77  ATK 61  DEF 84  SPATK 51  SPDEF 103 SPEED 89 
NUZLEAF Lv30             HP 81  ATK 99  DEF 87  SPATK 20  SPDEF 65  SPEED 56 

Set #522 - Route 19 Super Rod (rate=75)
MONFERNO Lv60            HP 66  ATK 96  DEF 72  SPATK 70  SPDEF 12  SPEED 75 
MARILL Lv60              HP 123 ATK 129 DEF 61  SPATK 33  SPDEF 10  SPEED 111
NUZLEAF Lv60             HP 81  ATK 99  DEF 87  SPATK 20  SPDEF 65  SPEED 56 
PACHIRISU Lv60           HP 25  ATK 48  DEF 96  SPATK 102 SPDEF 96  SPEED 93 
MIGHTYENA Lv60           HP 140 ATK 109 DEF 68  SPATK 41  SPDEF 46  SPEED 48 

Set #523 - Route 19 Swarms (rate=1)
MAGBY Lv1                HP 70  ATK 53  DEF 57  SPATK 66  SPDEF 66  SPEED 47 

Set #524 - Route 19 Night Fishing Replacement (rate=1)
TYRANITAR Lv1            HP 129 ATK 23  DEF 135 SPATK 127 SPDEF 41  SPEED 97 

Set #525 - Route 19 Fishing Swarm (rate=1)
MR. MIME Lv1             HP 113 ATK 16  DEF 67  SPATK 101 SPDEF 95  SPEED 56 

Set #526 - Route 20 Surfing (rate=10)
GROTLE Lv53              HP 44  ATK 63  DEF 23  SPATK 63  SPDEF 52  SPEED 10 
EEVEE Lv45               HP 49  ATK 47  DEF 73  SPATK 10  SPDEF 51  SPEED 70 
ILLUMISE Lv53            HP 117 ATK 56  DEF 71  SPATK 54  SPDEF 213 SPEED 171
MAGBY Lv53               HP 70  ATK 53  DEF 57  SPATK 66  SPDEF 66  SPEED 47 
BULBASAUR Lv53           HP 86  ATK 64  DEF 89  SPATK 39  SPDEF 28  SPEED 27 

Set #527 - Route 20 Old Rod (rate=25)
GYARADOS Lv15            HP 35  ATK 40  DEF 123 SPATK 122 SPDEF 11  SPEED 116
XATU Lv15                HP 21  ATK 82  DEF 137 SPATK 28  SPDEF 146 SPEED 21 
HITMONCHAN Lv15          HP 105 ATK 151 DEF 11  SPATK 106 SPDEF 83  SPEED 28 
GENGAR Lv15              HP 79  ATK 120 DEF 141 SPATK 118 SPDEF 90  SPEED 79 
CHERUBI Lv15             HP 48  ATK 28  DEF 41  SPATK 53  SPDEF 42  SPEED 56 

Set #528 - Route 20 Good Rod (rate=50)
MISDREAVUS Lv30          HP 91  ATK 63  DEF 27  SPATK 69  SPDEF 19  SPEED 35 
CHERRIM Lv30             HP 100 ATK 88  DEF 60  SPATK 71  SPDEF 74  SPEED 105
VESPIQUEN Lv30           HP 151 ATK 60  DEF 40  SPATK 59  SPDEF 148 SPEED 15 
AERODACTYL Lv30          HP 63  ATK 97  DEF 98  SPATK 49  SPDEF 145 SPEED 30 
MAMOSWINE Lv30           HP 79  ATK 45  DEF 103 SPATK 120 SPDEF 99  SPEED 77 

Set #529 - Route 20 Super Rod (rate=75)
WHISCASH Lv60            HP 29  ATK 45  DEF 59  SPATK 136 SPDEF 106 SPEED 133
MEW Lv60                 HP 21  ATK 142 DEF 91  SPATK 61  SPDEF 153 SPEED 118
MACHOP Lv60              HP 55  ATK 62  DEF 78  SPATK 30  SPDEF 99  SPEED 52 
PUPITAR Lv60             HP 102 ATK 75  DEF 10  SPATK 88  SPDEF 55  SPEED 104
MUNCHLAX Lv60            HP 94  ATK 94  DEF 63  SPATK 10  SPDEF 61  SPEED 28 

Set #530 - Route 20 Swarms (rate=1)
ANORITH Lv1              HP 86  ATK 62  DEF 76  SPATK 55  SPDEF 48  SPEED 72 

Set #531 - Route 20 Night Fishing Replacement (rate=1)
CHINGLING Lv1            HP 32  ATK 70  DEF 59  SPATK 43  SPDEF 80  SPEED 30 

Set #532 - Route 20 Fishing Swarm (rate=1)
ARIADOS Lv1              HP 65  ATK 118 DEF 24  SPATK 171 SPDEF 106 SPEED 36 

Set #533 - Pallet Town Surfing (rate=15)
TROPIUS Lv53             HP 63  ATK 66  DEF 63  SPATK 66  SPDEF 119 SPEED 60 
DELIBIRD Lv45            HP 144 ATK 22  DEF 101 SPATK 211 SPDEF 16  SPEED 100
NIDORAN♂ Lv53            HP 67  ATK 69  DEF 55  SPATK 113 SPDEF 36  SPEED 85 
LEDIAN Lv53              HP 146 ATK 38  DEF 186 SPATK 154 SPDEF 191 SPEED 106
DITTO Lv53               HP 20  ATK 126 DEF 201 SPATK 80  SPDEF 24  SPEED 44 

Set #534 - Pallet Town Old Rod (rate=25)
LARVITAR Lv15            HP 28  ATK 70  DEF 66  SPATK 55  SPDEF 43  SPEED 45 
LATIAS Lv15              HP 105 ATK 70  DEF 106 SPATK 94  SPDEF 42  SPEED 63 
GLISCOR Lv15             HP 160 ATK 111 DEF 117 SPATK 21  SPDEF 107 SPEED 76 
BANETTE Lv15             HP 76  ATK 52  DEF 18  SPATK 85  SPDEF 140 SPEED 76 
FLOATZEL Lv15            HP 76  ATK 38  DEF 72  SPATK 106 SPDEF 81  SPEED 111

Set #535 - Pallet Town Good Rod (rate=50)
GARCHOMP Lv30            HP 89  ATK 83  DEF 13  SPATK 66  SPDEF 102 SPEED 106
GLIGAR Lv30              HP 20  ATK 12  DEF 10  SPATK 119 SPDEF 84  SPEED 24 
GROVYLE Lv30             HP 44  ATK 49  DEF 18  SPATK 47  SPDEF 40  SPEED 30 
MONFERNO Lv30            HP 66  ATK 96  DEF 72  SPATK 70  SPDEF 12  SPEED 75 
DUGTRIO Lv30             HP 109 ATK 195 DEF 34  SPATK 162 SPDEF 183 SPEED 25 

Set #536 - Pallet Town Super Rod (rate=75)
METAPOD Lv60             HP 85  ATK 20  DEF 50  SPATK 72  SPDEF 112 SPEED 101
STUNKY Lv60              HP 20  ATK 60  DEF 77  SPATK 49  SPDEF 49  SPEED 51 
MR. MIME Lv60            HP 113 ATK 16  DEF 67  SPATK 101 SPDEF 95  SPEED 56 
OMANYTE Lv60             HP 83  ATK 118 DEF 14  SPATK 60  SPDEF 12  SPEED 134
HUNTAIL Lv60             HP 184 ATK 146 DEF 67  SPATK 101 SPDEF 87  SPEED 27 

Set #537 - Pallet Town Swarms (rate=1)
CASCOON Lv1              HP 29  ATK 170 DEF 108 SPATK 94  SPDEF 37  SPEED 119

Set #538 - Pallet Town Night Fishing Replacement (rate=1)
LICKITUNG Lv1            HP 89  ATK 64  DEF 73  SPATK 54  SPDEF 35  SPEED 69 

Set #539 - Pallet Town Fishing Swarm (rate=1)
KRABBY Lv1               HP 102 ATK 94  DEF 98  SPATK 58  SPDEF 70  SPEED 50 

Set #540 - Viridian City Surfing (rate=15)
LATIOS Lv15              HP 123 ATK 153 DEF 132 SPATK 11  SPDEF 24  SPEED 109
SWAMPERT Lv8             HP 120 ATK 12  DEF 105 SPATK 114 SPDEF 63  SPEED 120
REGICE Lv15              HP 40  ATK 95  DEF 123 SPATK 59  SPDEF 25  SPEED 113
WEAVILE Lv15             HP 174 ATK 142 DEF 36  SPATK 34  SPDEF 174 SPEED 30 
ARMALDO Lv15             HP 144 ATK 76  DEF 72  SPATK 41  SPDEF 87  SPEED 47 

Set #541 - Viridian City Old Rod (rate=25)
VILEPLUME Lv15           HP 133 ATK 96  DEF 110 SPATK 93  SPDEF 115 SPEED 73 
SKITTY Lv15              HP 35  ATK 42  DEF 45  SPATK 31  SPDEF 32  SPEED 36 
BEEDRILL Lv15            HP 110 ATK 28  DEF 102 SPATK 69  SPDEF 81  SPEED 59 
MISMAGIUS Lv15           HP 119 ATK 55  DEF 16  SPATK 137 SPDEF 130 SPEED 11 
BIDOOF Lv15              HP 39  ATK 40  DEF 23  SPATK 42  SPDEF 60  SPEED 40 

Set #542 - Viridian City Good Rod (rate=50)
MILTANK Lv30             HP 135 ATK 88  DEF 155 SPATK 45  SPDEF 143 SPEED 122
PACHIRISU Lv30           HP 25  ATK 48  DEF 96  SPATK 102 SPDEF 96  SPEED 93 
LATIOS Lv30              HP 123 ATK 153 DEF 132 SPATK 11  SPDEF 24  SPEED 109
GULPIN Lv30              HP 42  ATK 15  DEF 63  SPATK 63  SPDEF 42  SPEED 73 
ABSOL Lv30               HP 141 ATK 42  DEF 127 SPATK 88  SPDEF 123 SPEED 64 

Set #543 - Viridian City Super Rod (rate=75)
BONSLY Lv60              HP 20  ATK 53  DEF 48  SPATK 38  SPDEF 21  SPEED 39 
MAGNETON Lv60            HP 75  ATK 115 DEF 35  SPATK 90  SPDEF 28  SPEED 20 
EMPOLEON Lv60            HP 63  ATK 88  DEF 70  SPATK 105 SPDEF 12  SPEED 56 
PERSIAN Lv60             HP 35  ATK 175 DEF 20  SPATK 132 SPDEF 255 SPEED 23 
SCEPTILE Lv60            HP 106 ATK 121 DEF 38  SPATK 20  SPDEF 131 SPEED 31 

Set #544 - Viridian City Swarms (rate=1)
KINGDRA Lv1              HP 115 ATK 66  DEF 117 SPATK 119 SPDEF 93  SPEED 15 

Set #545 - Viridian City Night Fishing Replacement (rate=1)
PICHU Lv1                HP 61  ATK 75  DEF 17  SPATK 80  SPDEF 58  SPEED 57 

Set #546 - Viridian City Fishing Swarm (rate=1)
SOLROCK Lv1              HP 55  ATK 64  DEF 91  SPATK 87  SPDEF 92  SPEED 94 

Set #547 - Cerulean City Surfing (rate=10)
PALKIA Lv15              HP 53  ATK 35  DEF 92  SPATK 135 SPDEF 118 SPEED 82 
FEAROW Lv8               HP 84  ATK 60  DEF 126 SPATK 79  SPDEF 56  SPEED 28 
BUDEW Lv15               HP 65  ATK 73  DEF 70  SPATK 86  SPDEF 98  SPEED 59 
VAPOREON Lv15            HP 109 ATK 101 DEF 33  SPATK 34  SPDEF 59  SPEED 146
RAIKOU Lv15              HP 68  ATK 125 DEF 49  SPATK 79  SPDEF 49  SPEED 87 

Set #548 - Cerulean City Old Rod (rate=25)
EXPLOUD Lv15             HP 88  ATK 58  DEF 105 SPATK 76  SPDEF 94  SPEED 100
CLAMPERL Lv15            HP 72  ATK 16  DEF 93  SPATK 128 SPDEF 34  SPEED 93 
PORYGON2 Lv15            HP 61  ATK 63  DEF 42  SPATK 94  SPDEF 90  SPEED 18 
LUDICOLO Lv15            HP 141 ATK 74  DEF 71  SPATK 192 SPDEF 46  SPEED 73 
ODDISH Lv15              HP 53  ATK 58  DEF 14  SPATK 57  SPDEF 32  SPEED 40 

Set #549 - Cerulean City Good Rod (rate=50)
OMANYTE Lv30             HP 83  ATK 118 DEF 14  SPATK 60  SPDEF 12  SPEED 134
TEDDIURSA Lv30           HP 34  ATK 10  DEF 103 SPATK 77  SPDEF 75  SPEED 61 
SKIPLOOM Lv30            HP 23  ATK 42  DEF 82  SPATK 10  SPDEF 82  SPEED 10 
SWINUB Lv30              HP 82  ATK 105 DEF 98  SPATK 27  SPDEF 16  SPEED 44 
MUNCHLAX Lv30            HP 94  ATK 94  DEF 63  SPATK 10  SPDEF 61  SPEED 28 

Set #550 - Cerulean City Super Rod (rate=75)
HOUNDOUR Lv60            HP 45  ATK 53  DEF 42  SPATK 21  SPDEF 93  SPEED 102
SHELLOS Lv60             HP 38  ATK 77  DEF 55  SPATK 33  SPDEF 18  SPEED 18 
GEODUDE Lv60             HP 37  ATK 54  DEF 52  SPATK 14  SPDEF 15  SPEED 43 
MIGHTYENA Lv60           HP 140 ATK 109 DEF 68  SPATK 41  SPDEF 46  SPEED 48 
UMBREON Lv60             HP 20  ATK 129 DEF 134 SPATK 117 SPDEF 123 SPEED 135

Set #551 - Cerulean City Swarms (rate=1)
BASTIODON Lv1            HP 80  ATK 149 DEF 97  SPATK 57  SPDEF 28  SPEED 99 

Set #552 - Cerulean City Night Fishing Replacement (rate=1)
SEEDOT Lv1               HP 63  ATK 46  DEF 36  SPATK 62  SPDEF 72  SPEED 16 

Set #553 - Cerulean City Fishing Swarm (rate=1)
PIDGEOTTO Lv1            HP 44  ATK 26  DEF 68  SPATK 58  SPDEF 91  SPEED 82 

Set #554 - Vermilion City Surfing (rate=15)
ELECTRODE Lv53           HP 100 ATK 33  DEF 121 SPATK 95  SPDEF 24  SPEED 114
SPEAROW Lv45             HP 179 ATK 30  DEF 75  SPATK 100 SPDEF 83  SPEED 45 
SWALOT Lv53              HP 46  ATK 83  DEF 16  SPATK 62  SPDEF 148 SPEED 131
TORKOAL Lv53             HP 114 ATK 85  DEF 11  SPATK 112 SPDEF 11  SPEED 114
ZUBAT Lv53               HP 20  ATK 41  DEF 50  SPATK 111 SPDEF 43  SPEED 104

Set #555 - Vermilion City Rock Smash (rate=40)
PSYDUCK Lvs 36-56        HP 124 ATK 11  DEF 102 SPATK 141 SPDEF 28  SPEED 25 
WALREIN Lvs 48-53        HP 158 ATK 31  DEF 125 SPATK 51  SPDEF 17  SPEED 96 

Set #556 - Vermilion City Old Rod (rate=25)
DRIFBLIM Lv15            HP 66  ATK 172 DEF 27  SPATK 126 SPDEF 131 SPEED 119
SLOWKING Lv15            HP 92  ATK 143 DEF 159 SPATK 62  SPDEF 21  SPEED 125
TYRANITAR Lv15           HP 129 ATK 23  DEF 135 SPATK 127 SPDEF 41  SPEED 97 
ENTEI Lv15               HP 100 ATK 44  DEF 101 SPATK 81  SPDEF 85  SPEED 96 
SEADRA Lv15              HP 81  ATK 112 DEF 87  SPATK 52  SPDEF 37  SPEED 46 

Set #557 - Vermilion City Good Rod (rate=50)
LEAFEON Lv30             HP 109 ATK 125 DEF 55  SPATK 26  SPDEF 19  SPEED 129
SWELLOW Lv30             HP 86  ATK 15  DEF 170 SPATK 52  SPDEF 149 SPEED 61 
TRAPINCH Lv30            HP 30  ATK 52  DEF 59  SPATK 10  SPDEF 30  SPEED 51 
DODUO Lv30               HP 61  ATK 68  DEF 48  SPATK 44  SPDEF 65  SPEED 111
DITTO Lv30               HP 20  ATK 126 DEF 201 SPATK 80  SPDEF 24  SPEED 44 

Set #558 - Vermilion City Super Rod (rate=75)
PORYGON2 Lv60            HP 61  ATK 63  DEF 42  SPATK 94  SPDEF 90  SPEED 18 
DIALGA Lv60              HP 76  ATK 122 DEF 18  SPATK 118 SPDEF 82  SPEED 33 
ARTICUNO Lv60            HP 20  ATK 117 DEF 98  SPATK 16  SPDEF 130 SPEED 90 
GRIMER Lv60              HP 28  ATK 63  DEF 97  SPATK 41  SPDEF 93  SPEED 60 
PIDGEY Lv60              HP 45  ATK 43  DEF 48  SPATK 76  SPDEF 45  SPEED 49 

Set #559 - Vermilion City Swarms (rate=1)
GOLDUCK Lv1              HP 68  ATK 149 DEF 23  SPATK 143 SPDEF 13  SPEED 146

Set #560 - Vermilion City Night Fishing Replacement (rate=1)
REGISTEEL Lv1            HP 33  ATK 112 DEF 89  SPATK 65  SPDEF 121 SPEED 50 

Set #561 - Vermilion City Fishing Swarm (rate=1)
EXPLOUD Lv1              HP 88  ATK 58  DEF 105 SPATK 76  SPDEF 94  SPEED 100

Set #562 - Celadon City Surfing (rate=15)
WORMADAM Lv30            HP 20  ATK 160 DEF 21  SPATK 49  SPDEF 55  SPEED 163
MANAPHY Lv23             HP 75  ATK 128 DEF 139 SPATK 15  SPDEF 77  SPEED 92 
NIDORAN♀ Lv23            HP 25  ATK 19  DEF 10  SPATK 12  SPDEF 108 SPEED 86 
GLIGAR Lv23              HP 20  ATK 12  DEF 10  SPATK 119 SPDEF 84  SPEED 24 
GABITE Lv23              HP 34  ATK 50  DEF 81  SPATK 63  SPDEF 62  SPEED 26 

Set #563 - Celadon City Swarms (rate=1)
CHIMCHAR Lv1             HP 92  ATK 66  DEF 20  SPATK 84  SPDEF 39  SPEED 102

Set #564 - Fuchsia City Surfing (rate=15)
POLITOED Lv30            HP 69  ATK 87  DEF 88  SPATK 78  SPDEF 57  SPEED 66 
GLALIE Lv23              HP 82  ATK 95  DEF 109 SPATK 13  SPDEF 78  SPEED 63 
CLEFAIRY Lv15            HP 110 ATK 41  DEF 15  SPATK 110 SPDEF 86  SPEED 86 
BANETTE Lv15             HP 76  ATK 52  DEF 18  SPATK 85  SPDEF 140 SPEED 76 
DUGTRIO Lv15             HP 109 ATK 195 DEF 34  SPATK 162 SPDEF 183 SPEED 25 

Set #565 - Fuchsia City Old Rod (rate=25)
CHARIZARD Lv15           HP 136 ATK 78  DEF 120 SPATK 139 SPDEF 23  SPEED 26 
HUNTAIL Lv15             HP 184 ATK 146 DEF 67  SPATK 101 SPDEF 87  SPEED 27 
SKUNTANK Lv15            HP 57  ATK 109 DEF 71  SPATK 58  SPDEF 98  SPEED 158
MAGNEMITE Lv15           HP 36  ATK 44  DEF 77  SPATK 71  SPDEF 67  SPEED 57 
TAILLOW Lv15             HP 42  ATK 87  DEF 65  SPATK 67  SPDEF 99  SPEED 65 

Set #566 - Fuchsia City Good Rod (rate=50)
PACHIRISU Lv30           HP 25  ATK 48  DEF 96  SPATK 102 SPDEF 96  SPEED 93 
DEOXYS Lv30              HP 42  ATK 179 DEF 113 SPATK 75  SPDEF 77  SPEED 42 
CHARIZARD Lv30           HP 136 ATK 78  DEF 120 SPATK 139 SPDEF 23  SPEED 26 
SLOWPOKE Lv30            HP 63  ATK 77  DEF 67  SPATK 48  SPDEF 37  SPEED 93 
SEVIPER Lv30             HP 104 ATK 97  DEF 19  SPATK 107 SPDEF 88  SPEED 75 

Set #567 - Fuchsia City Super Rod (rate=75)
ROSERADE Lv60            HP 133 ATK 222 DEF 75  SPATK 95  SPDEF 98  SPEED 60 
BEEDRILL Lv60            HP 110 ATK 28  DEF 102 SPATK 69  SPDEF 81  SPEED 59 
KAKUNA Lv60              HP 43  ATK 66  DEF 80  SPATK 10  SPDEF 88  SPEED 73 
CHIMCHAR Lv60            HP 92  ATK 66  DEF 20  SPATK 84  SPDEF 39  SPEED 102
EXPLOUD Lv60             HP 88  ATK 58  DEF 105 SPATK 76  SPDEF 94  SPEED 100

Set #568 - Fuchsia City Swarms (rate=1)
TYROGUE Lv1              HP 114 ATK 121 DEF 10  SPATK 55  SPDEF 16  SPEED 15 

Set #569 - Fuchsia City Night Fishing Replacement (rate=1)
BIDOOF Lv1               HP 39  ATK 40  DEF 23  SPATK 42  SPDEF 60  SPEED 40 

Set #570 - Fuchsia City Fishing Swarm (rate=1)
LOMBRE Lv1               HP 123 ATK 34  DEF 58  SPATK 58  SPDEF 113 SPEED 100

Set #571 - Cinnabar Island Surfing (rate=15)
JIRACHI Lv53             HP 113 ATK 89  DEF 101 SPATK 39  SPDEF 148 SPEED 44 
HOOTHOOT Lv45            HP 58  ATK 34  DEF 29  SPATK 43  SPDEF 32  SPEED 36 
LEDYBA Lv53              HP 27  ATK 42  DEF 42  SPATK 33  SPDEF 51  SPEED 49 
GROVYLE Lv53             HP 44  ATK 49  DEF 18  SPATK 47  SPDEF 40  SPEED 30 
GLACEON Lv53             HP 71  ATK 15  DEF 81  SPATK 72  SPDEF 84  SPEED 102

Set #572 - Cinnabar Island Old Rod (rate=25)
SLAKOTH Lv15             HP 87  ATK 59  DEF 23  SPATK 91  SPDEF 30  SPEED 23 
ELECTRODE Lv15           HP 100 ATK 33  DEF 121 SPATK 95  SPDEF 24  SPEED 114
SKARMORY Lv15            HP 53  ATK 135 DEF 89  SPATK 16  SPDEF 134 SPEED 103
MACHAMP Lv15             HP 65  ATK 103 DEF 104 SPATK 152 SPDEF 27  SPEED 107
STEELIX Lv15             HP 109 ATK 10  DEF 110 SPATK 42  SPDEF 113 SPEED 112

Set #573 - Cinnabar Island Good Rod (rate=50)
STEELIX Lv30             HP 109 ATK 10  DEF 110 SPATK 42  SPDEF 113 SPEED 112
LAIRON Lv30              HP 20  ATK 20  DEF 57  SPATK 62  SPDEF 79  SPEED 26 
DIALGA Lv30              HP 76  ATK 122 DEF 18  SPATK 118 SPDEF 82  SPEED 33 
TRAPINCH Lv30            HP 30  ATK 52  DEF 59  SPATK 10  SPDEF 30  SPEED 51 
KRABBY Lv30              HP 102 ATK 94  DEF 98  SPATK 58  SPDEF 70  SPEED 50 

Set #574 - Cinnabar Island Super Rod (rate=75)
SCEPTILE Lv60            HP 106 ATK 121 DEF 38  SPATK 20  SPDEF 131 SPEED 31 
WYNAUT Lv60              HP 20  ATK 112 DEF 135 SPATK 30  SPDEF 53  SPEED 14 
METAGROSS Lv60           HP 79  ATK 124 DEF 53  SPATK 109 SPDEF 106 SPEED 87 
TOXICROAK Lv60           HP 44  ATK 109 DEF 20  SPATK 41  SPDEF 108 SPEED 174
FERALIGATR Lv60          HP 55  ATK 84  DEF 112 SPATK 62  SPDEF 71  SPEED 73 

Set #575 - Cinnabar Island Swarms (rate=1)
